" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","295.1924324625"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"531","24362","-1107.3920735999","0.0002576176","0.9486029059","2.3336671432","484.2025093229","300.5323017672","183.6702075557","175.3382955061","238.9352470554","-63.5969515493","-69.5625797150","5.9656281658","150.7815689210","110.1873859932","-22.0337078588","-179.2964801068","157.2627722480","4.9732651036","12.0031890601","133.8005815740","0.0045331832","0.0000000000"
"532","2366","-1107.3994398979","0.0002557269","0.9488586328","2.3380586496","484.2069008293","300.2082523263","183.9986485030","175.0142460652","243.4779789615","-68.4637328963","-74.4306008482","5.9668679519","150.4293372446","115.6354799057","-22.5868381887","-180.9528293092","158.3659911204","5.0175585912","13.4563442531","131.9504502584","0.0049841418","0.0000000000"
"533","2374","-1107.4025376385","0.0002549359","0.9491135687","2.3399054047","484.2087475844","300.3973182442","183.8114293402","175.2033119831","241.5472555837","-66.3439436006","-72.3348561429","5.9909125423","152.3162853221","109.5239234068","-20.2929531452","-180.7036526553","160.4106995101","5.3057989228","13.5724303248","133.4333163817","0.0047396929","0.0000000000"
"534","25405","-1107.4039232497","0.0002545829","0.9493681517","2.3407314533","484.2095736330","298.6573856105","185.5521880225","173.4633793494","239.4385162926","-65.9751369432","-72.0025095764","6.0273726332","150.1604898345","109.6405670680","-20.3625406098","-181.5494251735","161.1868845637","5.1459725800","12.8437152279","132.1699938404","0.0008081862","0.0000000000"
"535","1903","-1107.4085119539","0.0002534174","0.9496215691","2.3434670641","484.2123092438","300.6740170359","183.5382922079","175.4800107748","242.5001101142","-67.0200993394","-73.0534720620","6.0333727226","150.8019573222","113.2580700873","-21.5599172953","-180.1765086775","158.6165913822","5.0626424925","12.6654062668","133.0734724892","0.0004360737","0.0000000000"
"536","3051","-1107.4088575902","0.0002533298","0.9498748989","2.3436731193","484.2125152990","300.0163909130","184.1961243860","174.8223846519","241.1433973736","-66.3210127217","-72.3730472312","6.0520345095","150.5039759750","111.8476368018","-21.2082154032","-178.8678781316","157.6596627284","4.9997435844","12.4279228870","133.0760657508","0.0002437529","0.0000000000"
"537","9995","-1107.4166683214","0.0002513588","0.9501262577","2.3483295799","484.2171717597","300.3945417398","183.8226300199","175.2005354787","240.5264894423","-65.3259539636","-71.3107019302","5.9847479666","151.3442695146","110.9976204383","-21.8154005106","-179.6812586606","157.8658581501","5.0100472349","12.5788728527","133.6947840674","0.0605653596","0.0000000000"
"538","1855","-1107.4213452665","0.0002501860","0.9503764437","2.3511177965","484.2199599763","300.8864848685","183.3334751077","175.6924786074","242.8622861373","-67.1698075299","-73.1912644516","6.0214569217","151.0106064223","113.7520887916","-21.9004090766","-179.8637225708","157.9633134943","5.0267660547","12.5437122507","133.4397669947","0.0003611222","0.0000000000"
"539","24704","-1107.4241674256","0.0002494809","0.9506259247","2.3528002604","484.2216424401","298.0640024548","186.1576399852","172.8699961938","236.1696399372","-63.2996437434","-69.2744536699","5.9748099265","151.5068450482","105.7878186852","-21.1250237962","-183.4128241049","162.2878003088","5.1927692963","12.9719999458","133.3414749859","0.0006008201","0.0000000000"
"540","3309","-1107.4247006330","0.0002493479","0.9508752726","2.3531181383","484.2219603181","298.8938555356","185.3281047824","173.6998492745","243.1412882173","-69.4414389428","-75.4768712277","6.0354322849","150.0083074233","113.5376570535","-20.4046762595","-181.4216390587","161.0169627992","5.2002805862","12.2573107173","132.5493920436","0.0013240763","0.0000000000"
"541","2038","-1107.4254565234","0.0002491595","0.9511244321","2.3535687714","484.2224109511","300.5783086467","183.6441023044","175.3843023856","242.1005504179","-66.7162480323","-72.6808993284","5.9646512961","152.5370942480","110.1948064661","-20.6313502963","-180.5181430819","159.8867927857","5.2818073477","13.5437343976","133.7062587502","0.0052937524","0.0000000000"
"542","16586","-1107.4367303290","0.0002463663","0.9513707985","2.3602897852","484.2291319649","297.9881035856","186.2410283793","172.7940973245","235.8212337377","-63.0271364132","-69.0067040943","5.9795676811","151.5822106884","105.2460707024","-21.0070476531","-183.2741901026","162.2671424495","5.1969413892","13.0328363993","133.3515071806","0.0009257193","0.0000000000"
"543","2582","-1107.4370102103","0.0002462974","0.9516170959","2.3604566398","484.2292988195","302.6418951339","181.5874036856","177.4478888728","246.1612011836","-68.7133123107","-74.6882170580","5.9749047473","150.6800080404","118.9424925217","-23.4612993785","-178.5855124153","155.1242130368","4.9990897883","13.6346331027","132.0060028054","0.0402823439","0.0000000000"
"544","2595","-1107.4374801547","0.0002461817","0.9518632775","2.3607368027","484.2295789824","300.5377889513","183.6917900311","175.3437826902","247.7052085476","-72.3614258574","-78.4313517704","6.0699259130","149.3366578937","122.4150143296","-24.0464636756","-181.2591253161","157.2126616405","4.9121660741","13.0579648530","131.3598988016","0.0066281650","0.0000000000"
"545","2344","-1107.4398706916","0.0002455939","0.9521088714","2.3621619498","484.2310041295","300.2601528050","183.9708513245","175.0661465439","242.7397287980","-67.6735822541","-73.6907686361","6.0171863820","150.3742493644","116.6479729372","-24.2824935036","-182.0659249020","157.7834313984","4.9650989701","12.8858110689","132.5164733588","0.0068659665","0.0000000000"
"546","8198","-1107.4544677632","0.0002420350","0.9523509063","2.3708641683","484.2397063480","298.6761366444","185.5635697035","173.4821303833","237.1021245930","-63.6199942096","-69.6522628696","6.0322686600","150.7791032542","106.8714289108","-20.5484075720","-181.2257539838","160.6773464117","5.1157464060","12.7312069659","132.9310534579","0.0010964244","0.0000000000"
"547","9272","-1107.4611410959","0.0002404251","0.9525913315","2.3748425552","484.2436847349","300.1409206313","184.1027641036","174.9469143703","238.4488908757","-63.5019765054","-69.5410559246","6.0390794192","150.3190981085","109.4369197532","-21.3071269861","-181.8912361042","160.5841091181","5.1087221943","12.8492440555","132.3266660859","0.0344657729","0.0000000000"
"548","16934","-1107.4635529732","0.0002398460","0.9528311775","2.3762804247","484.2451226044","301.1450414940","183.1000811103","175.9510352329","241.6918827252","-65.7408474923","-71.7439702646","6.0031227723","149.8779525333","116.6473696923","-24.8334395004","-179.6587493031","154.8253098028","4.8013102338","12.2133347463","132.8530842179","0.0102233352","0.0000000000"
"549","24223","-1107.4643107377","0.0002396643","0.9530708418","2.3767321750","484.2455743547","299.0101237637","185.2354505910","173.8161175026","237.3046513187","-63.4885338161","-69.5248947044","6.0363608883","150.9827095521","106.0488265072","-19.7268847406","-181.1319724659","161.4050877253","5.2261010199","12.7722025973","132.9840798561","0.0003260789","0.0000000000"
"550","4198","-1107.4750313358","0.0002371087","0.9533079504","2.3831233875","484.2519655672","300.9128206389","183.3391449283","175.7188143778","240.5834818776","-64.8646674998","-70.9197994763","6.0551319765","149.0017606987","114.0113898678","-22.4296686889","-179.4569390199","157.0272703310","4.9593769630","12.5579262524","131.4792835342","0.0051739491","0.0000000000"
"551","9630","-1107.4952849792","0.0002323547","0.9535403051","2.3951978387","484.2640400184","300.6970894863","183.5669505321","175.5030832253","245.8000751321","-70.2969919068","-76.3358232704","6.0388313635","150.2850135250","118.8806878842","-23.3656262770","-180.4443308291","157.0787045520","4.9140585578","11.8580427158","133.4969624993","0.0159497520","0.0000000000"
"552","16130","-1107.4974601619","0.0002318498","0.9537721549","2.3964945999","484.2653367796","298.8493896887","185.4159470909","173.6553834276","236.9615472944","-63.3061638669","-69.3770597702","6.0708959033","152.1641098698","104.1628680490","-19.3654306244","-180.3055677969","160.9401371725","5.1997415110","12.3803994274","134.5766414306","0.0073275009","0.0000000000"
"553","2404","-1107.5005193691","0.0002311416","0.9540032965","2.3983183827","484.2671605624","299.4471089863","184.8200515761","174.2531027252","241.9139326298","-67.6608299046","-73.6783852872","6.0175553826","151.1298024005","111.2689597127","-20.4848294834","-182.5080811793","162.0232516959","5.2609657152","13.0304432303","132.8348797479","0.0035137070","0.0000000000"
"554","4376","-1107.5032591923","0.0002305092","0.9542338057","2.3999517610","484.2687939407","300.1878765696","184.0809173711","174.9938703086","236.8351845761","-61.8413142675","-67.8574237451","6.0161094776","151.2733484554","106.5954573380","-21.0336212174","-181.8175274448","160.7839062274","5.1418646659","12.7737554117","133.3249146690","0.0328137088","0.0000000000"
"555","9612","-1107.5048359916","0.0002301460","0.9544639517","2.4008917888","484.2697339685","300.7732500655","183.4964839030","175.5792438044","245.9324682870","-70.3532244826","-76.3766383517","6.0234138691","151.0381788390","117.3627031401","-22.4684136920","-179.4884249703","157.0200112783","4.9254021023","12.5131149857","133.5708884452","0.0287733058","0.0000000000"
"556","10012","-1107.5113344425","0.0002286553","0.9546926069","2.4047659178","484.2736080975","300.6365627412","183.6370453564","175.4425564801","237.7632354503","-62.3206789702","-68.2905449157","5.9698659455","150.7437795969","109.7539465764","-22.7344907230","-180.9256923148","158.1912015918","4.9767090934","12.9375263175","132.7911524182","0.0383917678","0.0000000000"
"557","17075","-1107.5240074484","0.0002257758","0.9549183827","2.4123210815","484.2811632613","299.2660719971","185.0150912641","174.0720657361","236.3270911157","-62.2550253796","-68.2864626454","6.0314372658","152.5432955268","102.6696253354","-18.8858297466","-180.4491782842","161.5633485376","5.3109321892","13.1398140710","134.0791754601","0.0133738064","0.0000000000"
"558","22072","-1107.5265904674","0.0002251934","0.9551435761","2.4138609791","484.2827031588","299.0569622051","185.2257409537","173.8629559440","240.6650291259","-66.8020731819","-72.8431091972","6.0410360153","151.0972292139","109.3703556205","-19.8025557085","-179.5882246180","159.7856689095","5.1521133337","12.0832981784","133.8616729756","0.0001447263","0.0000000000"
"559","8397","-1107.5333604698","0.0002236740","0.9553672501","2.4178969968","484.2867391766","298.8629069668","185.4238322098","173.6689007057","238.4304241557","-64.7615234500","-70.7098816842","5.9483582343","151.6631672676","107.6088897343","-20.8416328462","-181.0150297046","160.1733968584","5.0734518143","12.1799656269","134.4094024740","0.0003473525","0.0000000000"
"560","23128","-1107.5341834317","0.0002234900","0.9555907400","2.4183876154","484.2872297951","299.3757766955","184.9114530997","174.1817704344","237.6056883795","-63.4239179451","-69.4268782062","6.0029602611","150.8297628275","107.9845308392","-21.2086052873","-180.4122201106","159.2036148233","5.0623882034","12.8039927046","132.9625459228","0.0008359968","0.0000000000"
"561","7453","-1107.5358798550","0.0002231111","0.9558138512","2.4193989584","484.2882411381","299.0626148994","185.2256262387","173.8686086383","244.0690211017","-70.2004124634","-76.2527067605","6.0522942971","149.2244514646","115.7164231806","-20.8718535436","-181.0111938253","160.1393402817","5.1200883684","12.3968845947","131.7072486333","0.0002298682","0.0000000000"
"562","1808","-1107.5366760102","0.0002229336","0.9560367847","2.4198735958","484.2887157756","298.9092041271","185.3795116485","173.7151978660","241.0235088246","-67.3083109586","-73.3656380352","6.0573270766","151.0512747931","110.1876403481","-20.2154063166","-181.8319910504","161.6165847337","5.2290059253","12.4898082534","133.3309291865","0.0015314280","0.0000000000"
"563","9234","-1107.5390026114","0.0002224155","0.9562592002","2.4212606269","484.2901028066","298.9006598762","185.3894429304","173.7066536151","237.4241994969","-63.7175458818","-69.7235547169","6.0060088351","150.9794748823","107.2763236477","-20.8315990331","-180.8957429769","160.0641439438","5.0857790828","12.6638793827","133.2288179272","0.0009984897","0.0000000000"
"564","12116","-1107.5418494797","0.0002217832","0.9564809835","2.4229578214","484.2918000011","299.5529689632","184.7388310379","174.3589627021","238.3446547804","-63.9856920783","-69.9400713484","5.9543792701","151.3762989091","108.7173918970","-21.7490360257","-180.4113673481","158.6623313224","5.0288463248","12.7030187071","133.6432503798","0.0011834974","0.0000000000"
"565","19427","-1107.5481205154","0.0002203968","0.9567013802","2.4266963742","484.2955385539","300.9685468595","183.3269916944","175.7745405985","241.6548925451","-65.8799651887","-71.8816964114","6.0017312227","152.1237112225","111.7703003239","-22.2391190013","-178.2733937357","156.0342747343","4.9989042551","12.3325057402","134.7642239331","0.0280772942","0.0000000000"
"566","22249","-1107.5488894195","0.0002202274","0.9569216076","2.4271547655","484.2959969452","300.5733304251","183.7226665201","175.3793241640","238.2317712527","-62.8524470887","-68.8713167966","6.0188697079","150.2372039374","109.3502980914","-21.3557307760","-181.5072243163","160.1514935403","5.0892734817","12.9833590428","132.1292423022","0.0353291107","0.0000000000"
"567","4348","-1107.5539487880","0.0002191160","0.9571407236","2.4301709685","484.2990131482","300.3567262606","183.9422868876","175.1627199995","244.8156288398","-69.6529088403","-75.6902859873","6.0373771470","150.5730828079","115.3002489317","-21.0577028997","-180.8927657828","159.8350628831","5.1786564703","13.1092991062","132.2711779265","0.0139493049","0.0000000000"
"568","9467","-1107.5618693653","0.0002173873","0.9573581109","2.4348929151","484.3037350949","299.0766607326","185.2270743623","173.8826544715","239.0995040905","-65.2168496190","-71.1577342520","5.9408846331","151.8560638818","108.3357076389","-21.0922674302","-180.6321641479","159.5398967177","5.0486900629","12.1159297629","134.6911312253","0.0003128307","0.0000000000"
"569","5088","-1107.5630281962","0.0002171355","0.9575752464","2.4355837660","484.3044259457","300.1091072025","184.1953187433","174.9151009414","241.0559827331","-66.1385206584","-72.2037014897","6.0651808313","150.6565935741","110.1557061897","-19.7563170307","-179.0087849878","159.2524679571","5.1530969498","13.0275688516","132.4655189789","0.0104087939","0.0000000000"
"570","24054","-1107.5657648184","0.0002165421","0.9577917885","2.4372152360","484.3060574157","300.1637079956","184.1423494201","174.9697017345","236.6690668021","-61.6993650676","-67.6559458288","5.9565807612","151.2815389885","106.9695811388","-21.5820533252","-181.6194250667","160.0373717415","5.0722875492","12.6174991692","133.5537222753","0.0380299948","0.0000000000"
"571","9699","-1107.5670114075","0.0002162724","0.9580080609","2.4379584050","484.3068005847","299.9607333792","184.3460672055","174.7667271181","238.1842105049","-63.4174833868","-69.4075595353","5.9900761485","152.0681697227","107.7077875781","-21.5917467958","-179.3637887100","157.7720419142","5.0089369704","12.6703837115","134.3872843291","0.0015647116","0.0000000000"
"572","9554","-1107.5671188719","0.0002162491","0.9582243100","2.4380224711","484.3068646509","299.6688213833","184.6380432676","174.4748151222","243.6822798821","-69.2074647599","-75.2440941900","6.0366294301","150.9989623646","113.6444581084","-20.9611405910","-179.1935394908","158.2323988998","5.0794957923","12.2291708205","133.6901615181","0.0001342337","0.0000000000"
"573","21484","-1107.5681668901","0.0002160226","0.9584403326","2.4386472597","484.3074894394","298.6927815982","185.6147078412","173.4987753372","240.2885472781","-66.7897719410","-72.8080174593","6.0182455184","152.2674121704","108.4803659119","-20.4592308042","-182.9983018605","162.5390710564","5.3534876136","12.9928686911","133.9178750501","0.0031808156","0.0000000000"
"574","18246","-1107.5788564339","0.0002137257","0.9586540583","2.4450199588","484.3138621385","299.5406701792","184.7731919593","174.3466639181","237.1612719788","-62.8146080606","-68.8144825802","5.9998745196","151.5597003054","106.7701849143","-21.1686132409","-180.0689302015","158.9003169606","5.0536839903","12.8411220168","133.6632764592","0.0016178390","0.0000000000"
"575","11675","-1107.5882744924","0.0002117223","0.9588657806","2.4506346468","484.3194768265","298.9848419845","185.3346348421","173.7908357234","243.9244889081","-70.1336531848","-76.1958093311","6.0621561463","150.1581369132","114.1346755507","-20.3683235558","-181.3243360389","160.9560124832","5.2023056237","12.2796442632","132.6747690353","0.0014179910","0.0000000000"
"576","9246","-1107.5942437962","0.0002104622","0.9590762428","2.4541933185","484.3230354982","299.5512007879","184.7718347103","174.3571945268","241.2111223879","-66.8539278611","-72.8949961682","6.0410683071","151.5038674394","108.4821206886","-18.7748657402","-180.4945668927","161.7197011526","5.3339903391","12.4198222144","133.7421276628","0.0079272230","0.0000000000"
"577","19484","-1107.5982643953","0.0002096177","0.9592858605","2.4565902467","484.3254324264","299.8859374770","184.4394949494","174.6919312159","238.7178483701","-64.0259171543","-70.0098946530","5.9839774987","150.5640925112","110.2149057525","-22.0611498936","-179.8867629322","157.8256130386","4.9571801125","12.8566252118","132.7478457072","0.0024414797","0.0000000000"
"578","5863","-1107.6037883201","0.0002084630","0.9594943235","2.4598834003","484.3287255801","299.3543582700","184.9743673101","174.1603520089","237.4595022083","-63.2991501995","-69.3078644183","6.0087142188","150.5105187331","106.8347073267","-19.8857238515","-179.3642496526","159.4785258011","5.1913911999","12.4666862879","132.8522410797","0.0002001656","0.0000000000"
"579","21414","-1107.6075675606","0.0002076767","0.9597020001","2.4621364397","484.3309786194","299.1171717744","185.2138068449","173.9231655133","238.1556006389","-64.2324351256","-70.2327127515","6.0002776259","151.1786510420","108.1410449781","-21.1640953812","-180.6537082654","159.4896128842","5.0688725634","12.5634944469","133.5456262667","0.0006577650","0.0000000000"
"580","24195","-1107.6099179112","0.0002071891","0.9599091893","2.4635376292","484.3323798090","298.6672040479","185.6651757611","173.4731977868","236.4645182164","-62.9913204296","-68.9666268321","5.9753064025","151.7484518668","105.3526874388","-20.6366210891","-183.6054436749","162.9688225857","5.2514615975","13.4448610902","133.0489452232","0.0031839559","0.0000000000"
"581","9878","-1107.6158077388","0.0002059724","0.9601151617","2.4670489203","484.3358911000","300.9071127575","183.4287783425","175.7131064964","247.1460663758","-71.4329598794","-77.4396184921","6.0066586127","150.4799237172","120.4593292039","-23.7931865453","-180.1780197039","156.3848331586","4.8823488389","11.7407513857","133.8409737736","0.0158497189","0.0000000000"
"582","11739","-1107.6211191485","0.0002048813","0.9603200430","2.4702153805","484.3390575602","297.9278316748","186.4112258854","172.7338254137","235.5697771148","-62.8359517010","-68.8356469774","5.9996952763","151.3789479159","104.9155503934","-20.7247211946","-183.5901175551","162.8653963606","5.2265565766","13.0926531079","133.0587435518","0.0009946796","0.0000000000"
"583","11646","-1107.6217732184","0.0002047473","0.9605247903","2.4706053121","484.3394474918","298.9329380559","185.4065094359","173.7389317949","238.4005048504","-64.6615730556","-70.6616091820","6.0000361264","150.2231489451","109.1450266890","-20.9676707836","-181.3152022438","160.3475314602","5.0932736790","12.5495374009","132.5784338621","0.0019040030","0.0000000000"
"584","24586","-1107.6405748556","0.0002009337","0.9607257240","2.4818141325","484.3506563122","300.4440709254","183.9065853868","175.2500646643","237.9931224193","-62.7430577550","-68.7621524845","6.0190947295","151.6748810577","107.6523355891","-21.3340942274","-180.7330169188","159.3989226913","5.1048238066","13.3241092534","133.2409639024","0.0049840952","0.0000000000"
"585","9478","-1107.6502126442","0.0001990065","0.9609247304","2.4875598152","484.3564019949","299.2495195069","185.1068824881","174.0555132458","236.8581885428","-62.8026752970","-68.8246497699","6.0219744728","150.9837536708","106.9843979863","-21.1099631143","-180.4813969816","159.3714338674","5.0783039766","12.7134271320","133.1910835662","0.0009389961","0.0000000000"
"586","13217","-1107.6569866357","0.0001976629","0.9611223934","2.4915982111","484.3604403908","299.0814425887","185.2789978020","173.8874363277","236.5401484812","-62.6527121536","-68.6904355125","6.0377233589","150.7993525210","106.5779597868","-20.8371638265","-180.8264855610","159.9893217345","5.1064460030","12.7859921828","132.9058819459","0.0010323893","0.0000000000"
"587","23072","-1107.6666653477","0.0001957590","0.9613181524","2.4973682908","484.3662104705","301.3952703538","182.9709401167","176.2012640927","243.1332492722","-66.9319851794","-72.9558853041","6.0239001247","150.9652025773","116.0277774830","-23.8597307881","-180.2219153866","156.3621845984","4.8565885865","12.6811512486","133.4054244808","0.0220382614","0.0000000000"
"588","14747","-1107.6692922829","0.0001952455","0.9615133979","2.4989343695","484.3677765493","301.0300928923","183.3376836569","175.8360866313","241.0280637333","-65.1919771020","-71.2031772516","6.0112001496","150.8348306955","112.9631586216","-22.7699255838","-178.7104953631","155.9405697792","4.8924861351","13.0685772666","132.8726455397","0.0011217541","0.0000000000"
"589","16523","-1107.6735142078","0.0001944229","0.9617078208","2.5014513204","484.3702935002","300.0271391783","184.3431543219","174.8331329172","242.3273770877","-67.4942441705","-73.5091431051","6.0148989346","150.5142952732","112.9472868184","-21.1342050039","-182.8798657958","161.7456607918","5.1708152483","13.4823891768","131.8589387493","0.0021520989","0.0000000000"
"590","15519","-1107.6764870988","0.0001938458","0.9619016666","2.5032236449","484.3720658246","299.5031895441","184.8688762805","174.3091832830","240.1781746394","-65.8689913564","-71.8890469120","6.0200555557","150.5971670495","110.5620350981","-20.9810275083","-180.4428206198","159.4617931115","5.0781123854","12.9963650431","132.5211262759","0.0015633452","0.0000000000"
"591","24475","-1107.6819740685","0.0001927850","0.9620944516","2.5064947674","484.3753369471","299.9675033654","184.4078335817","174.7734971043","247.9964487441","-73.2229516398","-79.2616003674","6.0386487276","149.2227091742","120.2022099462","-21.4284703763","-180.0433906852","158.6149203089","5.0809800329","12.8615167730","131.2786111482","0.0016012201","0.0000000000"
"592","18994","-1107.6827959139","0.0001926267","0.9622870783","2.5069847203","484.3758269000","298.8800523193","185.4957745807","173.6860460582","236.7271774287","-63.0411313705","-69.0176350685","5.9765036979","151.9514310880","105.6551427185","-20.8793963778","-183.2525686466","162.3731722689","5.2243881984","13.3654059527","133.3586826525","0.0029542844","0.0000000000"
"593","14657","-1107.6832430523","0.0001925406","0.9624796189","2.5072512872","484.3760934669","299.1118775687","185.2642158983","173.9178713076","245.1988233092","-71.2809520016","-77.2503587387","5.9694067371","150.7275560029","115.4822475186","-21.0109802123","-180.2002126126","159.1892324003","5.1137520312","12.2851389746","133.3275772698","0.0010877272","0.0000000000"
"594","19711","-1107.6913849707","0.0001909793","0.9626705981","2.5121051890","484.3809473687","300.8880998264","183.4928475424","175.6940935653","243.4141946269","-67.7201010616","-73.6779613951","5.9578603335","149.8876624449","118.5850259262","-25.0584937441","-180.4322727333","155.3737789892","4.8181363102","12.2036470276","132.8557766470","0.0101024601","0.0000000000"
"595","2400","-1107.6937075148","0.0001905362","0.9628611344","2.5134898014","484.3823319811","299.9123231421","184.4700088389","174.7183168811","243.1921256210","-68.4738087399","-74.5028466376","6.0290378977","150.3219052932","114.6252602208","-21.7550398930","-182.7408107890","160.9857708960","5.2525108936","13.6170226646","131.4034740167","0.0488977183","0.0000000000"
"596","24008","-1107.6983997319","0.0001896443","0.9630507787","2.5162871226","484.3851293024","300.4592036416","183.9259256607","175.2651973806","240.8905348394","-65.6253374588","-71.6440396204","6.0187021616","150.0506700934","113.8867123313","-23.0468475853","-181.5654919923","158.5186444070","5.1241742940","13.9192506784","130.9566504211","0.0505946999","0.0000000000"
"597","9895","-1107.7092067801","0.0001876058","0.9632383845","2.5227298734","484.3915720531","300.1024775725","184.2890944806","174.9084713114","240.1181913348","-65.2097200234","-71.2596222108","6.0499021874","150.3563064627","113.2835729863","-23.5216881142","-181.6143755924","158.0926874782","4.9822438915","12.9828078464","132.3800595920","0.0111951328","0.0000000000"
"598","16958","-1107.7103037094","0.0001874002","0.9634257847","2.5233838209","484.3922260006","300.1542345316","184.2379914690","174.9602282706","241.2735591404","-66.3133308699","-72.3210265634","6.0076956935","150.3849031057","112.5806155274","-21.6919594927","-179.9506587343","158.2586992416","5.0165995364","12.7453352210","132.6223139127","0.0006544356","0.0000000000"
"599","2365","-1107.7120454895","0.0001870740","0.9636128587","2.5244222039","484.3932643836","299.8884858980","184.5047784856","174.6944796369","241.7448825393","-67.0504029024","-73.0629775166","6.0125746142","150.6572986742","111.4144176539","-20.3268337888","-180.1621294848","159.8352956960","5.1557171159","12.6285998816","132.8715061358","0.0014755409","0.0000000000"
"600","17238","-1107.7199981686","0.0001855922","0.9637984509","2.5291632884","484.3980054681","299.1329512631","185.2650542051","173.9389450020","239.3297410697","-65.3901859704","-71.3802312314","5.9900452610","150.7782282389","110.0563724277","-21.5048595969","-180.8029027987","159.2980432018","5.0318405619","12.3368730592","133.4086557843","0.0008588335","0.0000000000"
"601","4261","-1107.7209735208","0.0001854113","0.9639838621","2.5297447563","484.3985869360","300.8400318538","183.5585550822","175.6460255927","244.1026552082","-68.4553457596","-74.4858897322","6.0305439725","148.9054402541","119.2739904582","-24.0767755041","-180.5258810568","156.4491055527","4.8833208749","12.4456326115","131.5664803376","0.0100064301","0.0000000000"
"602","23998","-1107.7210994981","0.0001853879","0.9641692500","2.5298198591","484.3986620388","300.5905757534","183.8080862854","175.3965694924","241.1610000457","-65.7644305534","-71.7946786053","6.0302480519","150.5073512256","111.5423682018","-20.8887193816","-180.4071625112","159.5184431295","5.1254736565","13.3709999399","132.0062762062","0.0046014230","0.0000000000"
"603","7288","-1107.7283404855","0.0001840504","0.9643533004","2.5341366602","484.4029788399","301.4799966826","182.9229821574","176.2859904215","248.8972785293","-72.6112881078","-78.6407721074","6.0294839995","149.8962883148","122.6918257242","-23.6908355097","-180.3897211615","156.6988856519","4.9017531345","11.8720520232","133.1044972674","0.0179858898","0.0000000000"
"604","21741","-1107.7300875530","0.0001837291","0.9645370295","2.5351781953","484.4040203750","300.7955602359","183.6084601391","175.6015539748","240.6153659216","-65.0138119468","-71.0510216612","6.0372097144","150.8510498529","112.2850157380","-22.5206996694","-180.4837626161","157.9630629467","4.9924727084","13.7256283321","132.1266321651","0.0063166474","0.0000000000"
"605","24354","-1107.7320032456","0.0001833775","0.9647204070","2.5363202584","484.4051624381","301.4664557761","182.9387066620","176.2724495150","247.5844912718","-71.3120417567","-77.3388252680","6.0267835113","151.0663555338","120.4582027174","-23.9400669795","-179.4447163775","155.5046493980","4.8546865340","11.7209983251","134.4759321557","0.0147385190","0.0000000000"
"606","1948","-1107.7340774890","0.0001829975","0.9649034044","2.5375568433","484.4063990231","301.2828900270","183.1235089961","176.0888837659","243.2449964028","-67.1561126369","-73.1512315074","5.9951188705","149.9991596880","118.2753130942","-25.0294763794","-181.3176850372","156.2882086578","4.9156787958","13.6237382037","131.4499419852","0.0098007033","0.0000000000"
"607","1830","-1107.7355678498","0.0001827250","0.9650861294","2.5384453397","484.4072875194","301.8328544751","182.5744330443","176.6388482140","244.7491942589","-68.1103460449","-74.1165278334","6.0061817885","150.3779813075","118.7581916422","-24.3869786908","-180.9695357085","156.5825570176","4.9269129464","12.4673871487","132.9754468139","0.0082343984","0.0000000000"
"608","7341","-1107.7397436780","0.0001819635","0.9652680929","2.5409348095","484.4097769892","299.5775854671","184.8321915221","174.3835792060","243.1351459509","-68.7515838361","-74.8060601436","6.0544763075","151.1319453661","111.0560895720","-19.0528889872","-179.8669881085","160.8140991213","5.2613036268","12.7694951680","133.0892151108","0.0119314605","0.0000000000"
"609","13099","-1107.7490303447","0.0001802815","0.9654483744","2.5464711667","484.4153133464","299.3731382369","185.0421751095","174.1791319758","237.6005408308","-63.4214088550","-69.4496693517","6.0282604967","151.8059398362","104.6614579056","-18.8668569111","-180.7311325415","161.8642756304","5.2790857732","13.1222584138","133.3952228089","0.0093728403","0.0000000000"
