" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","295.1924324625"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"33","4531","-1104.4063108571","0.0051012406","0.2469034824","0.5536690502","482.4225112299","297.0638391886","185.3586720414","171.8698329275","234.2919767532","-62.4221438257","-68.4462388853","6.0240950596","151.3234541096","103.6764068424","-20.7078841988","-180.3170670979","159.6091828990","5.0609188551","12.2145709292","134.0469881990","0.0009761263","0.0000000000"
"34","24252","-1104.4085647784","0.0050897558","0.2519932381","0.5550127523","482.4238549320","297.6307800760","184.7930748560","172.4367738149","237.5297196885","-65.0929458736","-71.1307235060","6.0377776324","150.3598589142","110.3100630157","-23.1402022414","-182.1522245968","159.0120223554","4.9870003037","12.4517177711","132.9109780294","0.0101628099","0.0000000000"
"35","16985","-1104.4095602133","0.0050846918","0.2570779299","0.5556061927","482.4244483724","298.2402722239","184.1841761485","173.0462659628","240.3839486831","-67.3376827202","-73.3627903398","6.0251076196","149.8214794310","114.9375103996","-24.3750411475","-181.2580529850","156.8830118375","4.8553848671","12.6946222671","132.2650501614","0.0064221353","0.0000000000"
"36","16830","-1104.4276863400","0.0049933563","0.2620712862","0.5664122994","482.4352544792","297.9585197165","184.4767347627","172.7645134554","238.1398205982","-65.3753071428","-71.3998640702","6.0245569274","150.3149643435","108.4149598332","-20.5901035786","-180.7510256666","160.1609220880","5.1203527334","12.5709305393","132.6211925441","0.0024885267","0.0000000000"
"37","24698","-1104.4282773769","0.0049904059","0.2670616920","0.5667646532","482.4356068329","297.7511197262","184.6844871067","172.5571134652","234.7831861950","-62.2260727298","-68.2338649211","6.0077921913","151.3238796243","104.0344566232","-20.5751500525","-180.9061852554","160.3310352028","5.1267655910","12.6342780520","133.5590528298","0.0037831516","0.0000000000"
"38","24773","-1104.4449457973","0.0049079131","0.2719696052","0.5767017309","482.4455439106","296.9100507708","185.5354931398","171.7160445097","233.9585508249","-62.2425063152","-68.2662037679","6.0236974527","151.1166628940","103.2565473013","-20.4146593703","-180.6390463020","160.2243869317","5.0903134825","12.2745191715","133.7507750742","0.0010551657","0.0000000000"
"39","21594","-1104.4527669362","0.0048696774","0.2768392825","0.5813643962","482.4502065759","298.0019842405","184.4482223354","172.8079779794","236.4257283400","-63.6177503606","-69.6298690445","6.0121186839","150.5754376758","107.6209189243","-21.7706282601","-179.6191763361","157.8485480760","4.9503432139","12.6008465488","133.0231439137","0.0011039995","0.0000000000"
"40","14590","-1104.4583719104","0.0048424593","0.2816817418","0.5847058685","482.4535480482","297.2273350916","185.2262129567","172.0333288305","235.8798256349","-63.8464968044","-69.8479160952","6.0014192907","151.4161889288","105.3540863780","-20.8904496718","-180.1700284936","159.2795788217","5.0654229033","12.1094815931","134.2408945247","0.0003899076","0.0000000000"
"41","24186","-1104.4618375462","0.0048257062","0.2865074480","0.5867719486","482.4556141283","297.2697499513","185.1858641770","172.0757436902","237.8660330639","-65.7902893736","-71.8033164961","6.0130271225","150.5177989234","108.2796616504","-20.9314275100","-180.6409060346","159.7094785246","5.0650717814","12.1911738515","133.2610916111","0.0004616795","0.0000000000"
"42","21802","-1104.4728379250","0.0047729125","0.2912803605","0.5933299557","482.4621721354","297.6323205739","184.8298515615","172.4383143129","235.5260754268","-63.0877611140","-69.0618840530","5.9741229390","151.2793304375","104.8512734566","-20.6045284674","-180.5936033681","159.9890749007","5.1204116257","12.3935384600","133.7627675112","0.0026128406","0.0000000000"
"43","19843","-1104.5130551659","0.0045847678","0.2958651283","0.6173059439","482.4861481236","297.1835565195","185.3025916041","171.9895502584","236.0894432136","-64.0862895750","-70.0826274238","5.9963378487","151.4641035008","105.5656077635","-20.9402680507","-180.1435483411","159.2032802904","5.0598325864","12.1631065694","134.2404479500","0.0007163950","0.0000000000"
"44","16913","-1104.5140372353","0.0045802674","0.3004453957","0.6178914162","482.4867335960","296.9360154795","185.5507181164","171.7420092185","234.6425147799","-62.9005055614","-68.8753812817","5.9748757203","150.9899315027","104.4654755602","-20.8128922831","-180.8517814718","160.0388891888","5.0782975670","12.1370303000","133.7739029860","0.0007006497","0.0000000000"
"45","14159","-1104.5172187851","0.0045657182","0.3050111139","0.6197881351","482.4886303149","297.1111795951","185.3774507198","171.9171733340","237.6607128023","-65.7435394683","-71.7591922489","6.0156527806","150.3051801297","108.0192340554","-20.6637013828","-181.0085295348","160.3448281520","5.0938084355","12.2666643543","132.9441698677","0.0005374722","0.0000000000"
"46","12801","-1104.5201213208","0.0045524853","0.3095635992","0.6215185164","482.4903606962","297.8412838072","184.6490768889","172.6472775461","236.2887475473","-63.6414700012","-69.6748496470","6.0333796458","150.3981625075","107.2673945535","-21.3768095137","-179.8682620675","158.4914525537","4.9895665913","12.7160938113","132.6913131101","0.0011889948","0.0000000000"
"47","9304","-1104.5320352791","0.0044985690","0.3140621682","0.6286211649","482.4974633446","297.1352151071","185.3622482375","171.9412088460","237.2711774003","-65.3299685542","-71.3508330400","6.0208644858","150.1310123453","107.7885681473","-20.6484030923","-180.9025380914","160.2541349991","5.0875154887","12.2915554203","132.7512379481","0.0007034881","0.0000000000"
"48","23891","-1104.5358983990","0.0044812240","0.3185433922","0.6309242099","482.4997663896","298.4798268533","184.0199395363","173.2858205922","239.1504408980","-65.8646203058","-71.8741744689","6.0095541632","150.3960683491","110.8222799225","-22.0679073736","-180.6238039862","158.5558966126","5.1141666072","12.8240450168","132.4108143312","0.0470423939","0.0000000000"
"49","19850","-1104.5434481705","0.0044475192","0.3229909114","0.6354250963","482.5042672760","298.7220211661","183.7822461099","173.5280149050","240.3820728092","-66.8540579042","-72.8309756714","5.9769177672","150.6337921344","112.1186185727","-22.3703378980","-180.1744610158","157.8041231178","5.0815724377","12.6912660415","132.8135517382","0.0474019170","0.0000000000"
"50","17817","-1104.5641666394","0.0043563214","0.3273472328","0.6477766588","482.5166188385","296.9694950214","185.5471238170","171.7754887604","237.1046284961","-65.3291397357","-71.3626809996","6.0335412639","149.9317526437","107.5398750136","-20.3669991612","-181.2325840208","160.8655848596","5.1174779831","12.3559130427","132.4575943635","0.0007672544","0.0000000000"
"51","12122","-1104.5777378720","0.0042976001","0.3316448329","0.6558673111","482.5247094908","297.0762469968","185.4484624940","171.8822407357","236.0215043221","-64.1392635864","-70.0793869860","5.9401233996","151.2086836048","106.1700365303","-21.3572158131","-180.8795911869","159.5223753739","5.0535886275","12.0911911356","134.0631951931","0.0007086487","0.0000000000"
"52","17147","-1104.5800142430","0.0042878283","0.3359326612","0.6572243968","482.5260665765","297.7568722041","184.7691943724","172.5628659430","237.6093595503","-65.0464936073","-71.0799452140","6.0334516067","150.3631358854","107.5161878157","-20.2699641508","-181.1989453037","160.9289811529","5.1632479087","12.7490931666","132.4477224269","0.0030723832","0.0000000000"
"53","17725","-1104.6005088124","0.0042008455","0.3401335067","0.6694424790","482.5382846587","297.1847797134","185.3535049453","171.9907734523","234.7268084612","-62.7360350089","-68.7558869721","6.0198519632","151.2243064119","104.3272750908","-20.8247730415","-180.6092423578","159.7844693163","5.0698667914","12.1401082109","134.0138158472","0.0005155624","0.0000000000"
"54","24211","-1104.6030798943","0.0041900586","0.3443235653","0.6709752601","482.5398174398","298.5555359159","183.9842815239","173.3615296548","239.8156978557","-66.4541682009","-72.4496146943","5.9954464935","150.4026561776","111.4071558514","-21.9941141733","-180.5414286156","158.5473144423","5.1177552149","12.7977605229","132.4387423058","0.0483981340","0.0000000000"
"55","24208","-1104.6141074357","0.0041441064","0.3484676718","0.6775494605","482.5463916402","297.9379192967","184.6084723435","172.7439130356","238.6362737214","-65.8923606858","-71.9214818345","6.0291211486","150.5275831093","108.6131139074","-20.5044232952","-180.6866573501","160.1822340549","5.1278454437","12.5216236351","132.8757903774","0.0023236530","0.0000000000"
"56","23981","-1104.6400501245","0.0040379797","0.3525056515","0.6930155040","482.5618576838","297.7494804402","184.8123772436","172.5554741791","238.0373588545","-65.4818846754","-71.5390841685","6.0571994931","150.3988621585","107.9017212842","-20.2632245881","-181.1678785203","160.9046539322","5.1622029620","12.7443899943","132.4889822662","0.0032869360","0.0000000000"
"57","25115","-1104.6415583822","0.0040318940","0.3565375455","0.6939146699","482.5627568496","297.1640763850","185.3986804646","171.9700701239","237.1173982610","-65.1473281370","-71.1836467700","6.0363186330","150.2720377446","107.5145891075","-20.6692285911","-181.0368891457","160.3676605546","5.0954708045","12.2698036296","132.9061913666","0.0005719439","0.0000000000"
"58","14812","-1104.6524145577","0.0039883598","0.3605259053","0.7003867085","482.5692288882","298.2736324954","184.2955963928","173.0796262343","238.2856495367","-65.2060233025","-71.2525629309","6.0465396284","150.8082288718","108.1417746107","-20.6643539457","-180.6442492341","159.9798952883","5.1174678629","12.6127315825","133.0751778676","0.0028515588","0.0000000000"
