" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","298.1615549226"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"133","25833","-1250.1478984511","0.0019814423","0.6422645371","1.8975552690","567.5380202484","365.7666178085","201.7714024400","231.6301825287","316.9419163096","-85.3117337808","-91.5512519858","6.2395182050","146.5642727345","196.7847122917","-26.4070687166","-177.9508033243","151.5437346077","4.4225030807","10.0741363189","132.0676333349","0.0000000000","0.0000000000"
"134","12979","-1250.1502192197","0.0019768491","0.6442413863","1.8989388228","567.5394038023","365.7612277315","201.7781760708","231.6247924518","315.7712086633","-84.1464162115","-90.4339681831","6.2875519717","146.7686648212","194.2441104571","-25.2415666150","-177.1518808739","151.9103142589","4.4716193606","10.7158478520","131.5811976086","0.0000000000","0.0000000000"
"135","7554","-1250.1564828491","0.0019645056","0.6462058919","1.9026729603","567.5431379398","365.5403547649","202.0027831749","231.4039194851","316.8353867960","-85.4314673108","-91.8113844601","6.3799171493","146.7756668741","194.4052141334","-24.3454942116","-177.4359594738","153.0904652622","4.5363938719","10.6668279086","131.5724450936","0.0000000000","0.0000000000"
"136","23225","-1250.1702377111","0.0019376691","0.6481435610","1.9108730855","567.5513380649","362.3572841723","205.1940538926","228.2208488926","294.2083484796","-65.9874995870","-71.9890964112","6.0015968242","146.7484977786","174.3253973642","-26.8655466632","-182.5204063150","155.6548596518","4.3516925380","9.7847697539","132.6120354868","0.0000000000","0.0000000000"
"137","13098","-1250.1761488234","0.0019262491","0.6500698101","1.9143970656","567.5548620450","365.4908586514","202.0640033936","231.3544233717","316.9789680088","-85.6245446371","-91.8776010287","6.2530563916","146.0734232438","196.8162491454","-25.9107043805","-178.0700644165","152.1593600360","4.4553720378","10.1546096050","131.4634416010","0.0000000000","0.0000000000"
"138","25221","-1250.1926681115","0.0018946902","0.6519645003","1.9242452364","567.5647102158","364.5542761926","203.0104340232","230.4178409129","319.2629259013","-88.8450849884","-95.0748771733","6.2297921849","145.2237593527","202.0508678921","-28.0117013434","-179.7946812481","151.7829799047","4.3093573355","9.9339649025","130.9804371146","0.0000000000","0.0000000000"
"139","28355","-1250.2021831458","0.0018767477","0.6538412479","1.9299177376","567.5703827170","363.6491051158","203.9212776013","229.5126698360","292.9656270240","-63.4529571880","-69.4297179024","5.9767607145","149.2683462831","170.3773625082","-26.6800817673","-179.0267269056","152.3466451383","4.1503576956","8.9405310971","136.1774574904","0.0000000000","0.0000000000"
"140","17856","-1250.2049656738","0.0018715328","0.6557127808","1.9315765749","567.5720415543","365.7911473918","201.7808941625","231.6547121121","317.1077355288","-85.4530234168","-91.7566213650","6.3035979482","147.6316265807","194.9574814953","-25.4813725472","-176.8255210658","151.3441485186","4.4421466330","10.6094720597","132.5800078880","0.0000000000","0.0000000000"
"141","25443","-1250.2069809391","0.0018677650","0.6575805457","1.9327779993","567.5732429788","363.8540514090","203.7191915698","229.7176161292","300.1895906666","-70.4719745373","-76.5624133781","6.0904388408","147.2688667303","177.9228268845","-25.0021029482","-178.8510161902","153.8489132419","4.4111172697","10.2720444727","132.5857049879","0.0000000000","0.0000000000"
"142","28019","-1250.2131954948","0.0018561936","0.6594367394","1.9364828808","567.5769478603","362.2604056058","205.3165422545","228.1239703260","295.9766593020","-67.8526889760","-73.8589701263","6.0062811503","146.7417907073","176.3900766382","-27.1552080435","-182.3076847974","155.1524767539","4.3548235610","9.4277865037","132.9591806426","0.0000000000","0.0000000000"
"143","18984","-1250.2140878659","0.0018545380","0.6612912774","1.9370148786","567.5774798580","365.5020751132","202.0754047448","231.3656398335","316.7725133719","-85.4068735384","-91.6198148504","6.2129413120","147.0635998408","196.9468368577","-27.2379233266","-179.1755680290","151.9376447024","4.3557436751","10.0476315940","132.6602245717","0.0000000000","0.0000000000"
"144","7344","-1250.2260154322","0.0018325492","0.6631238266","1.9441256395","567.5845906190","365.3320602339","202.2525303851","231.1956249542","314.7378474171","-83.5422224629","-89.7580246019","6.2158021390","148.0115081230","192.8580395717","-26.1317002777","-177.8343426725","151.7026423948","4.4249044060","10.2885597199","133.2980439971","0.0000000000","0.0000000000"
"145","25232","-1250.2261943621","0.0018322214","0.6649560480","1.9442323108","567.5846972902","364.7840572937","202.8006399965","230.6476220140","306.8748762085","-76.2272541946","-82.3234989885","6.0962447940","146.4027222145","185.4462627806","-24.9741087866","-177.4074872980","152.4333785114","4.3450120689","9.7911920171","132.2665181284","0.0000000000","0.0000000000"
"146","15406","-1250.2306093040","0.0018241501","0.6667801980","1.9468643311","567.5873293105","365.5619099993","202.0254193113","231.4254747195","322.5148602761","-91.0883651420","-97.3933766750","6.3050115330","144.2745975069","203.7242799499","-25.4840171807","-176.1961375183","150.7121203377","4.3825009598","10.2456736122","129.6464229349","0.0000000000","0.0000000000"
"147","23279","-1250.2385587715","0.0018097065","0.6685899045","1.9516035010","567.5920684804","362.3843649657","205.2077035147","228.2479296860","293.6710722017","-65.4231425157","-71.4278790395","6.0047365238","146.8195109783","173.6789826813","-26.8274214580","-182.3745058003","155.5470843423","4.3557701439","9.7973685804","132.6663722540","0.0000000000","0.0000000000"
"148","15299","-1250.2392895115","0.0018083846","0.6703982891","1.9520391403","567.5925041198","366.1700010839","201.4225030359","232.0335658041","317.3014517576","-85.2678859535","-91.5433037331","6.2754177796","146.5121899884","196.0103158705","-25.2210541013","-176.9427446970","151.7216905958","4.4691875352","10.7266443907","131.3163580625","0.0000000000","0.0000000000"
"149","25980","-1250.2403787990","0.0018064158","0.6722047049","1.9526885321","567.5931535115","365.4710120136","202.1221414979","231.3345767339","316.6907568497","-85.3561801158","-91.6089573407","6.2527772249","147.0211749001","196.8679886481","-27.1984066986","-179.0615074925","151.8631007940","4.3586650995","10.0370708457","132.6254389549","0.0000000000","0.0000000000"
"150","7694","-1250.2449336632","0.0017982065","0.6740029114","1.9554039688","567.5958689482","365.9092485534","201.6866203948","231.7728132737","319.6849955334","-87.9121822597","-94.1671218207","6.2549395610","146.6365824846","199.3911309859","-26.3427179371","-177.5703453147","151.2276273776","4.4283739030","10.2330683814","131.9751402002","0.0000000000","0.0000000000"
"151","17905","-1250.2651024571","0.0017623022","0.6757652136","1.9674278359","567.6078928154","364.9417856252","202.6661071902","230.8053503455","320.5745783171","-89.7692279716","-95.9932542149","6.2240262432","145.0094638912","203.9514532640","-28.3863388381","-179.5639660810","151.1776272429","4.2875233604","9.9861021059","130.7358384249","0.0000000000","0.0000000000"
"152","29417","-1250.2675079299","0.0017580681","0.6775232817","1.9688618873","567.6093268667","364.7263996328","202.8829272339","230.5899643530","304.3376710070","-73.7477066539","-79.8277406540","6.0800340001","146.8245493053","181.8386850499","-24.3255633482","-177.6201465925","153.2945832443","4.4207281611","10.7474648270","131.6563563172","0.0000000000","0.0000000000"
"153","16731","-1250.2746156007","0.0017456166","0.6792688983","1.9730992100","567.6135641895","366.3531153795","201.2604488100","232.2166800997","316.2022129592","-83.9855328594","-90.2579267132","6.2723938538","147.3104697213","194.0279535361","-25.1362102983","-175.9511485277","150.8149382294","4.4424939049","10.5484652531","132.3195105633","0.0000000000","0.0000000000"
"154","27990","-1250.2820600661","0.0017326697","0.6810015680","1.9775373169","567.6180022964","362.2331458437","205.3848564527","228.0967105640","293.7205561944","-65.6238456304","-71.5788214652","5.9549758348","147.2644290296","173.8743461019","-27.4182189372","-182.2593956723","154.8411767351","4.3395561879","9.7165177323","133.2083551095","0.0000000000","0.0000000000"
"155","28502","-1250.2839256021","0.0017294403","0.6827310083","1.9786494785","567.6191144579","364.2023438200","203.4167706379","230.0659085403","299.8204170166","-69.7545084763","-75.7601628119","6.0056543356","148.1931001115","179.4754943610","-27.8481774559","-180.2587223952","152.4105449393","4.2569912290","9.5662440759","134.3698648066","0.0000000000","0.0000000000"
"156","31111","-1250.2979421702","0.0017053686","0.6844363770","1.9870056228","567.6274706023","362.4752842615","205.1521863408","228.3388489817","293.5763444441","-65.2374954624","-71.2318588300","5.9943633677","147.1556510389","173.3154737246","-26.8947803194","-181.8355091141","154.9407287948","4.3136592227","9.6136513296","133.2283404866","0.0000000000","0.0000000000"
"157","22151","-1250.3003823524","0.0017012123","0.6861375893","1.9884603666","567.6289253460","362.4528734422","205.1760519039","228.3164381624","293.9141117462","-65.5976735838","-71.5974152894","5.9997417056","146.8788832353","173.8500559248","-26.8148274139","-182.3861000878","155.5712726739","4.3569561765","9.8207538899","132.7011731689","0.0000000000","0.0000000000"
"158","17964","-1250.3029389615","0.0016968685","0.6878344578","1.9899845196","567.6304494990","364.2005358128","203.4299136862","230.0641005331","314.5341637738","-84.4700632408","-90.7327098260","6.2626465852","146.8271780816","194.8499002372","-27.1429145450","-180.7503790012","153.6074644562","4.4049106183","10.1259840547","132.2962834087","0.0000000000","0.0000000000"
"159","20547","-1250.3325619496","0.0016473394","0.6894817972","2.0076446175","567.6481095969","366.0860257129","201.5620838840","231.9495904332","326.4111651827","-94.4615747495","-100.7994024954","6.3378277459","144.6846950390","207.1777360280","-25.4512658844","-176.6695078181","151.2182419337","4.4060851656","9.9627602364","130.3158496370","0.0000000000","0.0000000000"
"160","15604","-1250.3364457815","0.0016409538","0.6911227510","2.0099600102","567.6504249897","366.0012002630","201.6492247267","231.8647649832","317.5736135181","-85.7063284730","-92.0059440891","6.2996156161","145.5841646060","197.9577092982","-25.9682603861","-177.4634137847","151.4951533986","4.4319294747","10.3062139665","130.8460211648","0.0000000000","0.0000000000"
"161","24731","-1250.3414713078","0.0016327279","0.6927554789","2.0129560377","567.6534210172","364.3551664301","203.2982545871","230.2187311504","301.4436697416","-71.2249385912","-77.3337713523","6.1088327611","147.1737779157","178.8259868699","-24.5560950440","-178.7144289617","154.1583339178","4.4902226071","10.9200706973","131.7634846114","0.0000000000","0.0000000000"
"162","17496","-1250.3465521152","0.0016244533","0.6943799322","2.0159850217","567.6564500012","365.7410712527","201.9153787485","231.6046359729","314.9957390171","-83.3911030442","-89.6389889827","6.2478859385","147.7755062629","194.3788515327","-27.1586187786","-178.8172330916","151.6586143131","4.3165786253","9.7823131434","133.6766144942","0.0000000000","0.0000000000"
"163","7680","-1250.3467724321","0.0016240955","0.6960040277","2.0161163662","567.6565813457","365.6326357550","202.0239455907","231.4962004753","317.3233215207","-85.8271210454","-92.0786970815","6.2515760361","146.3680180153","197.0415066247","-26.0862031194","-178.1541084167","152.0679052973","4.4558755848","10.1274345176","131.7847079130","0.0000000000","0.0000000000"
"164","29043","-1250.3560880940","0.0016090362","0.6976130639","2.0216700093","567.6621349887","362.0513526829","205.6107823058","227.9149174032","295.5366793792","-67.6217619760","-73.5849041011","5.9631421251","146.5327164796","175.8515577667","-26.8475948671","-182.7778280144","155.9302331473","4.3192672023","9.9726595860","132.2407896913","0.0000000000","0.0000000000"
"165","15576","-1250.3604685248","0.0016020033","0.6992150672","2.0242814553","567.6647464348","365.9047063653","201.7600400695","231.7682710855","316.9559802121","-85.1877091265","-91.5223684637","6.3346593372","146.6262919998","195.5934570341","-25.2637688219","-177.0669489835","151.8031801616","4.4704106657","10.7380432304","131.4178381037","0.0000000000","0.0000000000"
"166","14972","-1250.3667905461","0.0015919074","0.7008069746","2.0280504038","567.6685153833","366.1533454820","201.5151699012","232.0169102023","316.9967525365","-84.9798423342","-91.2646940556","6.2848517214","146.8605189278","195.7563235479","-25.6200899392","-176.7943798549","151.1742899157","4.4253032754","10.4677258512","131.9674898012","0.0000000000","0.0000000000"
"167","23265","-1250.3792156814","0.0015722501","0.7023792247","2.0354577965","567.6759227759","365.4743140718","202.2016087041","231.3378787920","317.2525520506","-85.9146732585","-92.2228783403","6.3082050818","146.0746901240","197.1188861842","-25.9410242577","-177.1889716059","151.2479473483","4.4127468245","10.1868164984","131.4751268011","0.0000000000","0.0000000000"
"168","17525","-1250.3818461105","0.0015681198","0.7039473445","2.0370259582","567.6774909376","366.3700454380","201.3074454996","232.2336101583","319.7587014105","-87.5250912522","-93.7824698955","6.2573786432","146.5973826366","199.2806988498","-26.1193800759","-176.8468980753","150.7275179994","4.4042385612","10.2607664364","131.9323776390","0.0000000000","0.0000000000"
"169","29067","-1250.3844385730","0.0015640598","0.7055114043","2.0385714856","567.6790364651","361.9547885127","205.7242479524","227.8183532330","291.2215761107","-63.4032228777","-69.3955263408","5.9923034630","147.0505406275","170.8131649966","-26.6421295134","-182.9419906452","156.2998611318","4.3391908100","9.9335590804","132.7777907371","0.0000000000","0.0000000000"
"170","29647","-1250.3877492004","0.0015588904","0.7070702947","2.0405451557","567.6810101352","363.6340852218","204.0469249133","229.4976499421","300.3832769228","-70.8856269808","-76.9172243519","6.0315973711","147.6377483517","179.4195894534","-26.6740608823","-180.0979653844","153.4239045021","4.3538807990","9.5853308187","133.6985367340","0.0000000000","0.0000000000"
"171","26956","-1250.4165779646","0.0015145911","0.7085848858","2.0577317675","567.6981967470","362.6929300440","205.0052667030","228.5564947642","292.2127392607","-63.6562444964","-69.6278551429","5.9716106464","147.8014357675","172.7904481141","-28.3791446210","-184.2685512785","155.8894066575","4.2646665863","10.1006720427","133.4360971385","0.0000000000","0.0000000000"
"172","13998","-1250.4171000204","0.0015138006","0.7100986864","2.0580429973","567.6985079768","364.7834727749","202.9150352019","230.6470374951","316.2418591228","-85.5948216277","-91.8151070078","6.2202853801","147.5985262516","196.8098391583","-28.1665062870","-179.7817283055","151.6152220185","4.3137423374","9.9735198837","133.3112640304","0.0000000000","0.0000000000"
"173","30600","-1250.4189346617","0.0015110259","0.7116097122","2.0591367406","567.6996017201","361.2841746273","206.4154270928","227.1477393476","294.8467420149","-67.6990026673","-73.7121315170","6.0131288497","146.7420207023","174.1378354466","-26.0331141340","-183.9239352641","157.8908211300","4.4117373676","10.2202506640","132.1100326707","0.0000000000","0.0000000000"
"174","17492","-1250.4269870299","0.0014989074","0.7131086196","2.0639372560","567.7044022355","364.5783094362","203.1260927993","230.4418741564","314.7840141572","-84.3421400007","-90.6080418344","6.2659018337","146.6363769934","195.6133130490","-27.4656758852","-180.4636123040","152.9979364188","4.3851794637","10.1799025287","132.0712950010","0.0000000000","0.0000000000"
"175","27794","-1250.4295139395","0.0014951246","0.7146037442","2.0654437033","567.7059086828","364.2208998370","203.4850088458","230.0844645573","301.7597705602","-71.6753060029","-77.7411700877","6.0658640848","146.7918315123","179.9689030226","-25.0009639748","-179.0128197860","154.0118558112","4.4194259528","10.4541409009","131.9182646587","0.0000000000","0.0000000000"
"176","26788","-1250.4365633328","0.0014846219","0.7160883661","2.0696462833","567.7101112628","362.0707022596","205.6394090031","227.9342669799","292.7890606486","-64.8547936687","-70.8479344458","5.9931407771","147.7529972458","172.0176817914","-26.9816183886","-182.1640472781","155.1824288895","4.3830424030","9.8121969505","133.5577578924","0.0000000000","0.0000000000"
"177","29331","-1250.4455252657","0.0014713763","0.7175597423","2.0749890466","567.7154540260","361.3273086877","206.3881453384","227.1908734079","293.1662280515","-65.9753546435","-71.9945785697","6.0192239262","146.8859101638","172.2209110500","-25.9405931624","-183.6921518671","157.7515587047","4.4159753890","10.2436546412","132.2262801336","0.0000000000","0.0000000000"
"178","23292","-1250.4479811022","0.0014677672","0.7190275095","2.0764531228","567.7169181023","365.7521593564","201.9647587458","231.6157240767","317.3494452202","-85.7337211435","-91.9762517419","6.2425305984","145.8359541475","197.3276365961","-25.8141455234","-178.1194740435","152.3053285201","4.4728515483","10.4733946468","130.8897079524","0.0000000000","0.0000000000"
"179","13127","-1250.4485283005","0.0014669643","0.7204944738","2.0767793416","567.7172443210","363.5330848497","204.1841594713","229.3966495700","295.1794520947","-65.7828025247","-71.8117825323","6.0289800076","148.1334866224","176.2222542549","-29.1762887826","-183.8589963175","154.6827075349","4.2425173659","10.0119213136","133.8790479430","0.0000000000","0.0000000000"
"180","28471","-1250.4526971217","0.0014608615","0.7219553354","2.0792646341","567.7197296135","362.3611988536","205.3585307599","228.2247635739","290.0002773470","-61.7755137731","-67.7081813091","5.9326675360","149.5724448769","167.1133970435","-26.6855645735","-181.3168617110","154.6312971375","4.2809625108","9.7077811433","135.5837012229","0.0000000000","0.0000000000"
"181","30371","-1250.4549065301","0.0014576374","0.7234129728","2.0805817993","567.7210467788","361.3528534313","206.3681933474","227.2164181516","293.1075565518","-65.8911384002","-71.9411103062","6.0499719060","146.8308796494","172.2224627724","-25.9457858700","-183.7179360067","157.7721501367","4.4137280423","10.2411719953","132.1759796117","0.0000000000","0.0000000000"
"182","12433","-1250.4558207310","0.0014563055","0.7248692783","2.0811268110","567.7215917905","364.6296762037","203.0919155868","230.4932409240","314.6870271733","-84.1937862493","-90.4391256248","6.2453393755","146.6991311526","195.6176994609","-27.6298034402","-180.4231966672","152.7933932270","4.3745990811","10.1991700923","132.1253619792","0.0000000000","0.0000000000"
"183","15744","-1250.4661994265","0.0014412691","0.7263105473","2.0873141943","567.7277791737","365.3483640355","202.3794151382","231.2119287558","314.9150717109","-83.7031429551","-89.9397754987","6.2366325436","147.8900558639","192.7814395664","-25.7564237194","-178.0732188150","152.3167950956","4.4617112712","10.3951047419","133.0332398507","0.0000000000","0.0000000000"
"184","5442","-1250.4673506028","0.0014396109","0.7277501582","2.0880004817","567.7284654612","364.2140860042","203.5143794570","230.0776507245","314.4847326872","-84.4070819627","-90.6538120922","6.2467301295","146.8615683881","194.7021869891","-27.0790226901","-180.7241909610","153.6451682709","4.4129470940","10.1817762538","132.2668450404","0.0000000000","0.0000000000"
"185","20051","-1250.4735054995","0.0014307774","0.7291809357","2.0916697968","567.7321347763","365.0182310158","202.7139037605","230.8817957360","319.9762850057","-89.0804506139","-95.3045553894","6.2241047754","145.0780849847","203.2318711624","-28.3336711414","-179.4710515287","151.1373803873","4.2933886907","9.9951442891","130.7895520049","0.0000000000","0.0000000000"
"186","23263","-1250.4795106236","0.0014222112","0.7306031468","2.0952498232","567.7357148027","364.4388493021","203.2968655006","230.3024140224","300.8821129096","-70.5796988872","-76.6761445817","6.0964456945","147.2077290158","178.1628537574","-24.4884698636","-178.6184458602","154.1299759965","4.4909026922","10.9281665290","131.7886597946","0.0000000000","0.0000000000"
"187","23116","-1250.4825141321","0.0014179460","0.7320210928","2.0970404007","567.7375053802","365.7498537486","201.9876516315","231.6134184689","316.2188978981","-84.6054794292","-90.8345417162","6.2290622870","145.9317437978","196.1113311092","-25.8241770089","-178.0715280341","152.2473510252","4.4779419374","10.4713747247","130.9824271356","0.0000000000","0.0000000000"
"188","10006","-1250.4868673866","0.0014117867","0.7334328795","2.0996356453","567.7401006248","364.9443104019","202.7957902229","230.8078751222","315.5933912680","-84.7855161459","-91.0048688315","6.2193526856","146.5492854096","197.2879514196","-28.2438455611","-180.0605139158","151.8166683546","4.2987440431","9.7832840614","132.4672573050","0.0000000000","0.0000000000"
"189","20532","-1250.4961452920","0.0013987489","0.7348316284","2.1051667794","567.7456317588","366.4610142860","201.2846174728","232.3245790062","326.8956669918","-94.5710879856","-100.8924512410","6.3213632555","144.2552390235","208.5361555196","-25.8957275513","-176.7043758223","150.8086482710","4.3841469536","10.0563438831","129.8147481869","0.0000000000","0.0000000000"
"190","20768","-1250.5247567820","0.0013592957","0.7361909241","2.1222238606","567.7626888400","365.9480461436","201.8146426964","231.8116108639","316.9537074589","-85.1420965950","-91.4371729359","6.2950763408","147.7504619058","194.7634050292","-25.5601594761","-176.8140872346","151.2539277585","4.4307282833","10.5925178051","132.7272158174","0.0000000000","0.0000000000"
"191","25879","-1250.5251108238","0.0013588145","0.7375497386","2.1224349268","567.7628999063","366.6096544634","201.1532454429","232.4732191837","317.0725883402","-84.5993691565","-90.9130366646","6.3136675080","148.2848045090","193.8610720639","-25.0732882327","-176.1020405809","151.0287523482","4.4529666569","10.4965816876","133.3352561645","0.0000000000","0.0000000000"
"192","5446","-1250.5266073841","0.0013567825","0.7389065210","2.1233271191","567.7637920986","364.6780751420","203.0857169566","230.5416398622","314.2134004417","-83.6717605794","-89.9146560205","6.2428954411","146.6578964661","195.2027518813","-27.6472479056","-180.4401056394","152.7928577337","4.3713688045","10.1877614652","132.0987661963","0.0000000000","0.0000000000"
"193","25595","-1250.5316410723","0.0013499700","0.7402564911","2.1263280124","567.7667929919","364.2275969701","203.5391960218","230.0911616903","302.2222151581","-72.1310534677","-78.2692884416","6.1382349738","147.4266359027","178.7088561985","-23.9132769431","-178.7068469633","154.7935700202","4.5305993556","10.8970662485","131.9989702986","0.0000000000","0.0000000000"
"194","24784","-1250.5324713142","0.0013488497","0.7416053407","2.1268229710","567.7672879505","363.4263685431","204.3409194074","229.2899332634","297.1568712904","-67.8669380271","-73.8866427887","6.0197047616","148.4753997753","175.2670433634","-26.5855718482","-181.6771845857","155.0916127375","4.4115777631","10.3807961613","133.6830258509","0.0000000000","0.0000000000"
"195","17477","-1250.5367236774","0.0013431261","0.7429484668","2.1293580681","567.7698230476","366.1161996291","201.6536234185","231.9797643493","319.7683594984","-87.7885951491","-94.0425412564","6.2539461073","146.5618256765","199.4922493635","-26.2857155416","-177.4246963491","151.1389808076","4.4366619949","10.2730324873","131.8521311943","0.0000000000","0.0000000000"
"196","12851","-1250.5396132856","0.0013392506","0.7442877174","2.1310807425","567.7715457220","365.7544217959","202.0171239261","231.6179865162","318.4744240429","-86.8564375267","-93.1630948599","6.3066573332","145.4543625395","198.5444245714","-25.5243630680","-178.2626568226","152.7382937546","4.4993184293","10.4980675039","130.4569766063","0.0000000000","0.0000000000"
"197","7739","-1250.5436070917","0.0013339125","0.7456216299","2.1334616977","567.7739266771","366.5485261321","201.2254005451","232.4120908523","321.4074531308","-88.9953622785","-95.2667658689","6.2714035904","146.0619175563","201.0129183590","-25.6673827846","-175.5060859449","149.8387031603","4.3981291383","10.2181805298","131.4456078882","0.0000000000","0.0000000000"
"198","12472","-1250.5452407549","0.0013317351","0.7469533650","2.1344356255","567.7749006049","365.3727809274","202.4021196776","231.2363456476","317.0864330467","-85.8500873991","-92.0879573611","6.2378699620","146.3582676877","198.9306964497","-28.2025310906","-179.4088352049","151.2063041143","4.3035509423","9.9085595119","132.1461572335","0.0000000000","0.0000000000"
"199","9858","-1250.5471453350","0.0013292012","0.7482825662","2.1355710636","567.7760360431","365.6740230352","202.1020130079","231.5375877555","318.8625555326","-87.3249677771","-93.5961862929","6.2712185158","146.3745390125","198.2236728690","-25.7356563488","-177.9679154084","152.2322590596","4.4806376560","10.3873191385","131.5065822180","0.0000000000","0.0000000000"
"200","12868","-1250.5479769091","0.0013280963","0.7496106625","2.1360668165","567.7765317960","365.7864273455","201.9901044504","231.6499920658","316.8472769250","-85.1972848592","-91.4453768704","6.2480920112","145.8616888242","196.8644696786","-25.8788815778","-178.1296135849","152.2507320071","4.4736767020","10.4532885152","130.9347236070","0.0000000000","0.0000000000"
"201","22018","-1250.5559356993","0.0013175682","0.7509282306","2.1408115443","567.7812765237","363.3528634957","204.4284130280","229.2164282159","297.5179242600","-68.3014960440","-74.3295468484","6.0280508044","147.3716337163","174.5000025660","-24.3537120223","-179.4386192378","155.0849072155","4.4690190771","10.4205989763","132.4820156629","0.0000000000","0.0000000000"
"202","3529","-1250.5603842855","0.0013117199","0.7522399505","2.1434636220","567.7839286014","366.0171635134","201.7667650880","231.8807282337","316.0886057939","-84.2078775602","-90.5417873195","6.3339097593","147.3309863060","193.1341177645","-24.3764982766","-176.5894709482","152.2129726716","4.5094238082","10.5920450154","132.2295174824","0.0000000000","0.0000000000"
"203","18738","-1250.5619337671","0.0013096890","0.7535496395","2.1443873639","567.7848523434","364.9280223217","202.8568300217","230.7915870419","315.4645468757","-84.6729598337","-90.9082810550","6.2353212212","146.6755855634","196.8665974555","-28.0776361432","-180.1463695985","152.0687334553","4.3305654784","9.9173393320","132.4276807530","0.0000000000","0.0000000000"
"204","23184","-1250.5648412277","0.0013058866","0.7548555262","2.1461206813","567.7865856607","366.1799917984","201.6065938623","232.0435565187","321.8899266461","-89.8463701274","-96.1561150650","6.3097449376","144.7877602547","202.6464818642","-25.5443154728","-175.9847270857","150.4404116129","4.3844128476","10.2130785200","130.1902688871","0.0000000000","0.0000000000"
"205","23284","-1250.5682248981","0.0013014754","0.7561570016","2.1481378968","567.7886028762","364.5324547953","203.2561480810","230.3960195156","315.1162841886","-84.7202646730","-90.8480768199","6.1278121469","147.8264736064","195.0414764669","-27.7516658847","-180.8249899864","153.0733241017","4.3800507031","10.3979113930","133.0485115104","0.0000000000","0.0000000000"
"206","25208","-1250.5766423595","0.0012905663","0.7574475679","2.1531560669","567.7936210463","365.5945068891","202.1991141572","231.4580716094","317.0846625299","-85.6265909205","-91.9267831726","6.3001922522","146.7525313602","197.0381874721","-26.7060563024","-179.2930698439","152.5870135415","4.3960700006","10.2275358095","132.1289255502","0.0000000000","0.0000000000"
"207","30379","-1250.5864240519","0.0012780039","0.7587255718","2.1589875395","567.7994525190","361.5335462786","206.2659062404","227.3971109989","292.7279955512","-65.3308845523","-71.3274755304","5.9965909781","147.6669602243","171.0461755455","-25.9851402186","-183.0533736455","157.0682334269","4.3863736697","10.1288143412","133.1517722135","0.0000000000","0.0000000000"
"208","17489","-1250.5884484974","0.0012754193","0.7600009910","2.1601944369","567.8006594163","366.4680753766","201.3325840398","232.3316400968","319.6753505317","-87.3437104349","-93.5919484072","6.2482379723","146.7804786037","199.1813009480","-26.2864290200","-177.1439811037","150.8575520838","4.4101161865","10.0722799338","132.2980824834","0.0000000000","0.0000000000"
"209","22639","-1250.5932939433","0.0012692542","0.7612702453","2.1630831073","567.8035480867","364.6887917971","203.1147562896","230.5523565174","304.2752927034","-73.7229361860","-79.8407154287","6.1177792427","146.0386210658","182.7236217677","-24.4869501302","-177.7847811093","153.2978309792","4.4267150425","10.5531234374","131.0587825860","0.0000000000","0.0000000000"
"210","4815","-1250.5958994805","0.0012659515","0.7625361967","2.1646364293","567.8051014088","365.7788543303","202.0262470785","231.6424190506","317.4383315737","-85.7959125231","-92.1159997482","6.3200872251","145.5708665734","197.4016268522","-25.5341618519","-178.2211915293","152.6870296775","4.5048043458","10.5011192192","130.5649430084","0.0000000000","0.0000000000"
"211","17923","-1250.6088121794","0.0012497097","0.7637859064","2.1723344889","567.8127994684","366.0475003098","201.7652991586","231.9110650301","316.8323893922","-84.9213243622","-91.2468369631","6.3255126010","146.6591633466","194.9953317614","-24.8221057157","-177.2792034294","152.4570977136","4.5186327780","10.8296985093","131.3108320593","0.0000000000","0.0000000000"
