" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","268.5041409144"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"26","2336","-1145.6131390060","0.0060313729","0.2141607008","0.6172353766","522.8989971368","364.0246604143","158.8743367226","253.1385405830","288.3498959200","-35.2113553370","-41.0799536147","5.8685982777","133.6860280565","164.4620299381","-9.7981620746","-142.9856038356","133.1874417610","4.8782992029","14.4257491776","114.3819796760","0.0000000000","0.0000000000"
"27","12730","-1145.6292509691","0.0059349743","0.2200956751","0.6268407157","522.9086024759","363.9855810428","158.9230214331","253.0994612116","291.7837784770","-38.6845018657","-44.5502180261","5.8657161604","132.5508264676","168.8553266228","-9.6223746134","-144.5350866373","134.9127120239","4.9799528087","15.1620006424","112.4088730165","0.0000000000","0.0000000000"
"28","7636","-1145.6518554537","0.0058023222","0.2258979973","0.6403166489","522.9220784092","364.6303085405","158.2917698687","253.7441887093","293.0028023008","-39.2586135915","-45.1778747528","5.9192611613","132.7037825281","169.6239039182","-9.3248841456","-143.0996621947","133.7747780492","4.9749120273","15.1690074917","112.5598630091","0.0000000000","0.0000000000"
"29","7639","-1145.7213203101","0.0054129453","0.2313109425","0.6817289521","522.9634907124","364.5370495404","158.4264411720","253.6509297092","292.7053793044","-39.0544495952","-44.9583797878","5.9039301925","133.0172455673","169.1014161130","-9.4132823759","-143.5782821049","134.1649997290","4.9936637653","15.0847027863","112.9388790157","0.0000000000","0.0000000000"
"30","12258","-1145.7375108444","0.0053260124","0.2366369549","0.6913811323","522.9731428926","364.5753223920","158.3978205006","253.6892025608","292.4463507153","-38.7571481545","-44.6874418494","5.9302936949","132.7469720102","169.1577718582","-9.4583931531","-143.0852493906","133.6268562375","4.9513346140","15.3049839024","112.4906534938","0.0000000000","0.0000000000"
"31","2419","-1145.7543119308","0.0052372771","0.2418742321","0.7013973005","522.9831590608","363.9476154025","159.0355436583","253.0614955713","289.3190569466","-36.2575613753","-42.1147301903","5.8571688150","132.7739480394","166.1835477726","-9.6384388654","-144.3103447600","134.6719058946","4.9635384654","14.9431960768","112.8672134972","0.0000000000","0.0000000000"
"32","10154","-1145.7636693534","0.0051884983","0.2470627304","0.7069758397","522.9887376000","364.0236141165","158.9651234834","253.1374942853","289.8137180283","-36.6762237431","-42.5395182827","5.8632945396","132.7020584675","166.6243325190","-9.5126729582","-144.3105194032","134.7978464450","4.9871203989","14.8215827016","112.8933553670","0.0000000000","0.0000000000"
"33","7463","-1145.7657181192","0.0051778792","0.2522406095","0.7081972359","522.9899589961","364.4783959497","158.5115630465","253.5922761184","293.3991376631","-39.8068615446","-45.7027554465","5.8958939019","133.0813486526","169.8510102155","-9.5332212050","-143.5279734836","133.9947522785","4.9703794158","15.2192348921","112.8917343447","0.0000000000","0.0000000000"
"34","9426","-1145.8092306435","0.0049574080","0.2571980175","0.7341377465","523.0158995068","363.9769078205","159.0389916863","253.0907879892","288.9823035383","-35.8915155491","-41.7494111304","5.8578955813","132.7714579335","165.8467412102","-9.6358956053","-144.3206080039","134.6847123986","4.9640257430","14.9455390732","112.8618931173","0.0000000000","0.0000000000"
"35","12325","-1145.8216530515","0.0048962060","0.2620942235","0.7415435134","523.0233052736","364.6617618414","158.3615434323","253.7756420101","290.3334592085","-36.5578171984","-42.3704962591","5.8126790607","133.7483945165","166.9937195908","-10.4086548988","-143.9124492582","133.5037943594","4.8655675378","15.4751757034","113.4076512753","0.0000000000","0.0000000000"
"36","3490","-1145.8452337854","0.0047821005","0.2668763239","0.7556014492","523.0373632095","364.1728365001","158.8645267094","253.2867166689","288.3237115253","-35.0369948078","-40.9254768511","5.8884820433","133.7022259491","164.4110348082","-9.7895492319","-142.9338321778","133.1442829459","4.8754760394","14.4170453704","114.4097045392","0.0000000000","0.0000000000"
"37","10996","-1145.8610004409","0.0047072940","0.2715836179","0.7650009291","523.0467626894","364.5416375542","158.5051251352","253.6555177230","292.1672942627","-38.5117765397","-44.3844177177","5.8726411780","132.9276610887","168.9609288325","-9.7212956585","-144.1718869414","134.4505912829","4.9846059556","15.4203685764","112.5226865567","0.0000000000","0.0000000000"
"38","8078","-1145.8717364158","0.0046570269","0.2762406449","0.7714013087","523.0531630690","364.0876340610","158.9655290080","253.2015142297","289.7567430765","-36.5552288467","-42.4286291375","5.8734002908","132.7043383567","166.5670948491","-9.5146901293","-144.3322895260","134.8175993967","4.9864509157","14.8267325159","112.8911549251","0.0000000000","0.0000000000"
"39","7752","-1145.8822556255","0.0046082954","0.2808489403","0.7776724611","523.0594342214","363.7579715846","159.3014626368","252.8718517533","286.6778027045","-33.8059509512","-39.6585542797","5.8526033286","133.4017881748","163.1712986211","-9.8952840914","-144.7889634253","134.8936793340","4.9166171327","14.6851440942","113.8000269478","0.0000000000","0.0000000000"
"40","8817","-1145.8832058082","0.0046039188","0.2854528591","0.7782389238","523.0600006841","364.3619102863","158.6980903978","253.4757904551","289.9227665602","-36.4468113976","-42.3727289851","5.9259175875","133.4955434052","165.8486550054","-9.4214318504","-142.2047839558","132.7833521054","4.9132595230","14.3418849420","114.2403989402","0.0000000000","0.0000000000"
"41","12354","-1145.9116395051","0.0044748559","0.2899277151","0.7951900116","523.0769517718","364.7257698771","158.3511818947","253.8396500459","292.3500290663","-38.5103190499","-44.4181022780","5.9077832282","132.8551344637","169.0953059642","-9.6004113616","-143.1813468075","133.5809354459","4.9414425405","15.0331403191","112.8805516040","0.0000000000","0.0000000000"
"42","12323","-1145.9636078069","0.0042482446","0.2941759596","0.8261715349","523.1079332952","364.5947679751","158.5131653201","253.7086481439","292.4896962685","-38.7810481246","-44.6730231990","5.8919750744","133.0567833060","168.9736791343","-9.5407661718","-143.5392108928","133.9984447209","4.9694105854","15.2198899663","112.8674827544","0.0000000000","0.0000000000"
"43","12349","-1145.9636576858","0.0042480327","0.2984239923","0.8262012708","523.1079630311","364.6007015914","158.5072614396","253.7145817602","290.8806415243","-37.1660597641","-43.0338887693","5.8678290052","132.9836116291","167.5603502289","-9.6633203336","-143.9707077675","134.3073874339","4.9418589369","15.2663463319","112.7754063603","0.0000000000","0.0000000000"
"44","10221","-1145.9846510768","0.0041597817","0.3025837740","0.8387167314","523.1204784917","364.5153245947","158.6051538970","253.6292047634","292.2630550082","-38.6338502448","-44.5091181695","5.8752679246","133.2690820134","168.8225579770","-9.8285849822","-144.6395446347","134.8109596525","4.9983953146","15.3552172273","112.9154694716","0.0000000000","0.0000000000"
"45","12678","-1145.9871278797","0.0041494914","0.3067332654","0.8401933070","523.1219550673","364.6644447465","158.4575103207","253.7783249153","289.9727768385","-36.1944519232","-42.0582678437","5.8638159205","133.9621338885","165.9713088032","-9.9606658532","-142.6070382648","132.6463724115","4.8320261735","14.9102425551","114.2198651600","0.0000000000","0.0000000000"
"46","7163","-1145.9939872133","0.0041211261","0.3108543915","0.8442825806","523.1260443408","364.6756925934","158.4503517475","253.7895727621","290.2347862004","-36.4452134383","-42.2354206724","5.7902072341","134.0929022294","166.6649927147","-10.5231087437","-144.4184026124","133.8952938687","4.8799457256","15.4109913625","113.8019651414","0.0000000000","0.0000000000"
"47","3379","-1145.9973266015","0.0041073870","0.3149617785","0.8462733967","523.1280351570","364.4601515193","158.6678836377","253.5740316880","292.6152664831","-39.0412347950","-44.8881267755","5.8468919805","133.4314988254","169.1840420234","-10.0002743658","-145.0530008411","135.0527264753","4.9613896126","15.4465518078","113.0235574051","0.0000000000","0.0000000000"
"48","11165","-1146.0040364620","0.0040799193","0.3190416978","0.8502735602","523.1320353204","364.4279147153","158.7041206051","253.5417948841","291.2326605570","-37.6908656729","-43.5527178317","5.8618521588","133.3820556406","167.7350867703","-9.8844818540","-144.3860724173","134.5015905634","4.9337514069","15.3252186249","113.1230856088","0.0000000000","0.0000000000"
"49","1983","-1146.0416932121","0.0039291395","0.3229708373","0.8727230812","523.1544848414","364.7041256428","158.4503591986","253.8180058116","291.3797042598","-37.5616984482","-43.4658368506","5.9041384024","133.3026390731","167.7476653944","-9.6706002076","-143.3503965447","133.6797963370","4.9355699609","14.7526301339","113.6144389783","0.0000000000","0.0000000000"
"50","11298","-1146.0546950123","0.0038783843","0.3268492216","0.8804742595","523.1622360198","364.5659540836","158.5962819362","253.6798342524","291.1579607612","-37.4781265088","-43.3416532850","5.8635267762","133.0519081073","167.8904087816","-9.7843561277","-143.9198785073","134.1355223796","4.9188168936","15.3908646309","112.7422265829","0.0000000000","0.0000000000"
"51","5995","-1146.0569916403","0.0038694873","0.3307187090","0.8818434217","523.1636051819","364.6828670350","158.4807381469","253.7967472038","289.3879535385","-35.5912063347","-41.3941118938","5.8029055591","134.1195304060","165.7662086986","-10.4977855661","-144.5061742096","134.0083886435","4.8840828658","15.4091600844","113.8262874557","0.0000000000","0.0000000000"
"52","4956","-1146.0738534225","0.0038047879","0.3345234968","0.8918957744","523.1736575347","364.8287903334","158.3448672012","253.9426705022","291.0282216919","-37.0855511897","-42.8809791565","5.7954279668","133.7294811241","167.5430072729","-10.2442667051","-143.1286364043","132.8843696992","4.9202453303","14.9922553716","113.8169804221","0.0000000000","0.0000000000"
"53","12275","-1146.0780665804","0.0037887914","0.3383122883","0.8944074988","523.1761692590","364.9815899636","158.1945792954","254.0954701324","292.8697376184","-38.7742674860","-44.6949508812","5.9206833952","133.5486137482","169.2150590109","-9.8939351407","-143.2635920694","133.3696569287","4.9415821217","15.4304046064","113.1766270201","0.0000000000","0.0000000000"
"54","7654","-1146.1016838059","0.0037003591","0.3420126473","0.9084871896","523.1902489499","364.4898163109","158.7004326390","253.6036964797","290.6921241798","-37.0884277001","-42.9550032469","5.8665755468","133.3575220701","167.2285148563","-9.8939127467","-144.3888613294","134.4949485827","4.9322789500","15.3233819704","113.1018611498","0.0000000000","0.0000000000"
"55","12912","-1146.1105955914","0.0036675288","0.3456801761","0.9138000569","523.1955618171","364.4306970224","158.7648647948","253.5445771911","291.1528035040","-37.6082263129","-43.5024399448","5.8942136319","133.5138595283","167.3764280962","-9.7374841204","-143.4002247062","133.6627405858","4.9740352477","15.0140548321","113.5257694485","0.0000000000","0.0000000000"
"56","7193","-1146.1121800099","0.0036617225","0.3493418985","0.9147446269","523.1965063872","364.5443889558","158.6521174314","253.6582691245","291.4165153629","-37.7582462384","-43.6046118430","5.8463656046","133.1779962981","168.3117486769","-10.0732296122","-144.3286405524","134.2554109402","4.9919335820","15.1429682339","113.0430944823","0.0000000000","0.0000000000"
"57","12823","-1146.1209172270","0.0036298686","0.3529717671","0.9199534231","523.2017151834","364.5471756956","158.6545394878","253.6610558644","291.6209653189","-37.9593251408","-43.8096329027","5.8503077619","133.2013201403","168.4998133972","-10.0801682186","-144.3375270242","134.2573588057","4.9944004059","15.1496032799","113.0573164545","0.0000000000","0.0000000000"
"58","8557","-1146.1430154663","0.0035505346","0.3565223017","0.9331275522","523.2148893125","364.6707935367","158.5440957758","253.7846737055","294.5609007845","-40.7762270790","-46.6279694776","5.8517423986","133.0411959236","171.3436787697","-9.8239739088","-143.8260933000","134.0021193912","5.0001258464","15.1005439029","112.9405261743","0.0000000000","0.0000000000"
"59","11260","-1146.1460922729","0.0035396271","0.3600619289","0.9349618272","523.2167235874","364.8356537558","158.3810698317","253.9495339245","292.4017446701","-38.4522107456","-44.3528723556","5.9006616100","134.0101817461","168.1100168596","-9.7184539356","-142.3355430573","132.6170891216","4.8881202616","14.7661661195","114.3558953650","0.0000000000","0.0000000000"
"60","4534","-1146.1536075297","0.0035131256","0.3635750545","0.9394421372","523.2212038975","364.1555759865","159.0656279110","253.2694561553","287.6482934676","-34.3788373123","-40.2463457746","5.8675084623","134.0370223291","163.6337178325","-10.0224466941","-143.3223482617","133.2999015676","4.8404931811","14.3342492630","114.8622798850","0.0000000000","0.0000000000"
"61","7155","-1146.1565041978","0.0035029640","0.3670780185","0.9411690205","523.2229307808","364.5949118951","158.6280188857","253.7087920638","290.5922906476","-36.8834985837","-42.7442945179","5.8607959341","133.3194199326","167.0491728566","-9.7763021416","-144.4832669965","134.7069648549","4.9569353978","15.2150779813","113.1474065535","0.0000000000","0.0000000000"
"62","11087","-1146.1649003689","0.0034736756","0.3705516941","0.9461744981","523.2279362584","364.7481032782","158.4798329802","253.8619834469","293.0437815737","-39.1817981267","-45.0682806489","5.8864825221","132.8535490570","169.8229468517","-9.6327143351","-143.3807385702","133.7480242351","5.0346734626","14.9765653831","112.8423102113","0.0000000000","0.0000000000"
"63","12008","-1146.1748894445","0.0034391496","0.3739908437","0.9521296047","523.2338913650","364.5788892874","158.6550020776","253.6927694561","291.3493751875","-37.6566057314","-43.5015607643","5.8449550329","133.1834538011","168.2369175894","-10.0709962029","-144.3245593385","134.2535631356","4.9932328055","15.1353884648","113.0548325308","0.0000000000","0.0000000000"
"64","8533","-1146.1882405541","0.0033935383","0.3773843819","0.9600890281","523.2418507883","364.7031475803","158.5387032080","253.8170277490","294.1438255272","-40.3267977782","-46.1910725942","5.8642748160","133.0168823938","170.9280557153","-9.8011125818","-143.8115176627","134.0104050809","4.9985855483","15.0590245256","112.9592723198","0.0000000000","0.0000000000"
"65","10144","-1146.1896091853","0.0033888969","0.3807732789","0.9609049539","523.2426667142","364.5899390624","158.6527276518","253.7038192311","291.6046278673","-37.9008086362","-43.7431000442","5.8422914080","133.1869013656","168.5072638039","-10.0895373022","-144.3511193000","134.2615819978","4.9944603271","15.1492862412","113.0431547973","0.0000000000","0.0000000000"
"66","12729","-1146.2020836994","0.0033468847","0.3841201635","0.9683417844","523.2501035446","364.6083846277","158.6417189169","253.7222647965","292.9427121060","-39.2204473095","-45.0634688317","5.8430215222","133.0617036221","170.0078333525","-10.1268248686","-144.3541018737","134.2272770051","4.9451205035","15.3407726058","112.7758105128","0.0000000000","0.0000000000"
"67","11559","-1146.2169906958","0.0032973627","0.3874175262","0.9772287682","523.2589905284","364.5440365885","158.7149539399","253.6579167573","292.7200044460","-39.0620876888","-44.8718116278","5.8097239390","133.3444899001","169.6102844927","-10.2347699467","-144.7306197422","134.4958497955","4.9565095921","15.2156845329","113.1722957751","0.0000000000","0.0000000000"
"68","9854","-1146.2339926684","0.0032417749","0.3906593012","0.9873646970","523.2691264573","365.2655634867","158.0035629706","254.3794436554","293.5242667556","-39.1441564194","-44.9464933851","5.8023369657","134.2906303474","169.8439278156","-10.6102914074","-143.2569218358","132.6466304284","4.8858686432","15.4170438022","113.9877179020","0.0000000000","0.0000000000"
"69","11199","-1146.2533347302","0.0031796748","0.3938389760","0.9988956980","523.2806574583","364.5787298890","158.7019275693","253.6926100578","292.8720471386","-39.1794370808","-44.9690977021","5.7896606213","133.4072575619","169.7309692400","-10.2661796633","-144.7682432764","134.5020636131","4.9573895318","15.2764469539","113.1734210761","0.0000000000","0.0000000000"
"70","6830","-1146.2556732486","0.0031722478","0.3970112238","1.0002898337","523.2820515940","364.5823495234","158.6997020706","253.6962296921","292.4913948357","-38.7951651436","-44.6160178912","5.8208527476","133.3670115435","169.3709762466","-10.2465929545","-144.7602844131","134.5136914586","4.9554446039","15.2394833147","113.1720836250","0.0000000000","0.0000000000"
"71","8789","-1146.2625833729","0.0031504027","0.4001616265","1.0044093868","523.2861711470","364.6395520285","158.6466191186","253.7534321972","293.6244432957","-39.8710110985","-45.6997282102","5.8287171116","133.0769214620","170.7182197399","-10.1706979062","-144.3981747082","134.2274768021","4.9430653224","15.4088754099","112.7249807297","0.0000000000","0.0000000000"
