" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","268.5041409144"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"420","806","-1147.9684085423","0.0005721839","0.8853894643","2.0213574198","524.3031191800","365.6370401924","158.6660789877","254.7509203611","287.1873264699","-32.4364061088","-38.7609501664","6.3245440577","143.3214753698","148.8390062290","-4.9731551289","-137.7426142235","132.7694590946","4.6040835172","10.4184647987","128.2989270539","0.0000000000","0.0000000000"
"421","11515","-1147.9704904899","0.0005709939","0.8859604581","2.0225985977","524.3043603579","365.8876220050","158.4167383530","255.0015021737","292.8706645705","-37.8691623967","-43.6850814566","5.8159190599","134.1506794857","168.9782172182","-10.2582321335","-144.3143231706","134.0560910371","4.9385361186","15.6127255718","113.5994177954","0.0000000000","0.0000000000"
"422","9800","-1147.9775378605","0.0005669840","0.8865274421","2.0267999718","524.3085617321","365.5330947113","158.7754670207","254.6469748801","295.6763581939","-41.0293833138","-46.9370409176","5.9076576038","132.5517336007","172.3338196756","-9.2091950824","-143.9903810049","134.7811859225","5.0975772744","15.0843760732","112.3697802531","0.0000000000","0.0000000000"
"423","3727","-1147.9840180188","0.0005633217","0.8870907638","2.0306631955","524.3124249557","365.8177817173","158.4946432384","254.9316618860","299.4718091003","-44.5401472142","-50.4119212382","5.8717740240","132.9511109155","176.6187084870","-10.0980103022","-145.1249352314","135.0269249292","5.0245201865","15.7387437164","112.1878470127","0.0000000000","0.0000000000"
"424","919","-1147.9850210752","0.0005627570","0.8876535208","2.0312611795","524.3130229398","365.4894847055","158.8235382342","254.6033648743","295.9036556277","-41.3002907534","-47.1969520891","5.8966613357","132.2932455427","173.0684090197","-9.4579989347","-144.5871622264","135.1291632917","5.0454288033","15.1967711689","112.0510455706","0.0000000000","0.0000000000"
"425","8705","-1147.9911972432","0.0005592920","0.8882128128","2.0349431758","524.3167049360","366.0033875485","158.3133173875","255.1172677173","296.3915031154","-41.2742353982","-47.1806109813","5.9063755831","133.6247372324","172.5900073438","-9.8232414607","-143.7233357527","133.9000942919","4.9794361752","15.4473627371","113.1979383201","0.0000000000","0.0000000000"
"426","3383","-1148.0013198972","0.0005536590","0.8887664719","2.0409779168","524.3227396770","365.8932176096","158.4295220675","255.0070977783","293.6402558086","-38.6331580303","-44.4322981752","5.7991401449","133.7993268772","170.2178979692","-10.3769690378","-144.3789742591","134.0020052213","4.9998915100","15.3609677796","113.4384675877","0.0000000000","0.0000000000"
"427","6288","-1148.0113652737","0.0005481252","0.8893145970","2.0469665879","524.3287283481","366.9626577871","157.3660705610","256.0765379558","291.9863185463","-35.9097805905","-42.0322134455","6.1224328551","139.2097263666","159.7987477568","-7.0221555771","-137.7915410479","130.7693854708","4.7044989910","12.1258705307","122.3793568449","0.0000000000","0.0000000000"
"428","12854","-1148.0155879303","0.0005458155","0.8898604125","2.0494839750","524.3312457353","365.8375117082","158.4937340271","254.9513918769","298.1397020887","-43.1883102118","-49.0230627402","5.8347525285","132.8389340498","175.3506010584","-10.0498330196","-144.5921672551","134.5423342355","5.0484023636","15.5475287153","112.2430029710","0.0000000000","0.0000000000"
"429","2158","-1148.0171361414","0.0005449711","0.8904053836","2.0504069595","524.3321687198","365.7840770658","158.5480916540","254.8979572346","286.6563309537","-31.7583737191","-38.0457829694","6.2874092503","143.4030067329","148.3464866859","-5.0931624652","-137.7322877610","132.6391252958","4.5893577913","10.3646224223","128.4490265193","0.0000000000","0.0000000000"
"430","3924","-1148.0191887894","0.0005438536","0.8909492373","2.0516306702","524.3333924304","365.5592891262","158.7741033043","254.6731692949","294.0560795763","-39.3829102814","-45.2771692252","5.8942589438","132.1928007493","171.1080269491","-9.2447481220","-144.0013012348","134.7565531128","5.0363991290","14.9770157052","112.1793859150","0.0000000000","0.0000000000"
"431","11555","-1148.0213513187","0.0005426788","0.8914919161","2.0529198878","524.3346816481","365.8707266223","158.4639550257","254.9846067911","296.8355331005","-41.8509263094","-47.6843230393","5.8333967299","132.7916266723","174.1988717442","-10.1549653161","-144.3976016637","134.2426363477","4.9757852543","15.2988025252","112.5170388929","0.0000000000","0.0000000000"
"432","10217","-1148.0237128818","0.0005413987","0.8920333148","2.0543277618","524.3360895220","365.8617032479","158.4743862741","254.9755834167","294.8020002069","-39.8264167902","-45.7035922432","5.8771754531","133.3393337934","171.4700354700","-10.0073690565","-144.7258579659","134.7184889094","5.0034632902","15.0976599814","113.2382105218","0.0000000000","0.0000000000"
"433","4266","-1148.0344815977","0.0005355999","0.8925689147","2.0607476603","524.3425094205","365.4871599069","158.8553495136","254.6010400757","296.9585308899","-42.3574908142","-48.2261332281","5.8686424139","133.0139915345","173.7201263651","-9.7755870096","-145.5530430898","135.7774560802","5.0809911286","15.3697780265","112.5632223794","0.0000000000","0.0000000000"
"434","10604","-1148.0369099245","0.0005343008","0.8931032155","2.0621953363","524.3439570966","365.3113701973","159.0325868993","254.4252503661","292.6674101305","-38.2421597644","-44.0982045194","5.8560447550","132.5606047696","169.7998832278","-9.6930778669","-144.2105605758","134.5174827089","4.9628953626","14.8292916467","112.7684177603","0.0000000000","0.0000000000"
"435","3875","-1148.0370418621","0.0005342303","0.8936374458","2.0622739925","524.3440357527","365.8450875477","158.4989482051","254.9589677164","293.0782290435","-38.1192613271","-43.9197668432","5.8005055161","134.0440217726","169.6045297643","-10.5703224933","-144.1297535090","133.5594310157","4.9308309452","15.4778989251","113.6352919022","0.0000000000","0.0000000000"
"436","1654","-1148.0445159526","0.0005302523","0.8941676982","2.0667297607","524.3484915210","364.5118558624","159.8366356586","253.6257360312","293.4929589588","-39.8662591330","-45.7300705064","5.8638113734","133.7703133223","169.0540421274","-9.3313964910","-145.5092251550","136.1778286641","5.1231180439","14.8884602010","113.7587350774","0.0000000000","0.0000000000"
"437","7886","-1148.0476452207","0.0005285956","0.8946962938","2.0685953113","524.3503570715","365.6954131805","158.6549438910","254.8092933493","293.5238669068","-38.7145735576","-44.5806327347","5.8660591772","132.4307813664","170.7915074148","-9.6984218743","-143.7934034177","134.0949815434","4.9647935214","15.1199465302","112.3460413148","0.0000000000","0.0000000000"
"438","10037","-1148.0500664374","0.0005273173","0.8952236111","2.0700387485","524.3518005088","365.8791581929","158.4726423159","254.9930383616","300.2993114815","-45.3062731199","-51.1963723502","5.8900992304","132.7624387340","177.0631460016","-9.5262732542","-144.1605488022","134.6342755480","5.1283004133","15.3472486855","112.2868896352","0.0000000000","0.0000000000"
"439","7548","-1148.0559026708","0.0005242487","0.8957478599","2.0735180887","524.3552798489","365.9876146171","158.3676652319","255.1014947858","295.4601193448","-40.3586245590","-46.2268917855","5.8682672264","132.7422074471","172.9807847274","-10.2628728296","-144.1746517231","133.9117788935","5.0267257210","15.1537419230","112.5617398031","0.0000000000","0.0000000000"
"440","3373","-1148.0595459893","0.0005223422","0.8962702021","2.0756900965","524.3574518567","365.7847936753","158.5726581814","254.8986738441","292.4860669306","-37.5873930865","-43.4098179379","5.8224248514","132.9581494906","169.6781387445","-10.1502213045","-143.7979292248","133.6477079202","4.9300337936","15.3137564221","112.7143592749","0.0000000000","0.0000000000"
"441","6902","-1148.0608640436","0.0005216542","0.8967918563","2.0764758703","524.3582376306","365.8680155442","158.4902220864","254.9818957129","297.7867988929","-42.8049031799","-48.6903882846","5.8854851046","132.8936084109","174.7319301693","-9.8387396874","-144.6657500226","134.8270103352","5.1173899296","15.4461279841","112.3300904971","0.0000000000","0.0000000000"
"442","6341","-1148.0632955567","0.0005203873","0.8973122436","2.0779254459","524.3596872061","365.7363468805","158.6233403257","254.8502270492","294.9123030941","-40.0620760449","-45.9243431924","5.8622671476","133.1869926847","171.5694652537","-9.8441548442","-144.1715948636","134.3274400193","5.0494201849","15.3581873993","112.7793851004","0.0000000000","0.0000000000"
"443","10450","-1148.0651827036","0.0005194062","0.8978316498","2.0790504910","524.3608122513","364.2099829327","160.1508293186","253.3238631014","288.7165010756","-35.3926379742","-41.2409287210","5.8482907468","134.3463966614","163.8753825029","-9.5052780887","-145.3856343963","135.8803563076","5.0433962600","14.5544598082","114.7485405932","0.0000000000","0.0000000000"
"444","12852","-1148.0691235839","0.0005173633","0.8983490131","2.0813998938","524.3631616541","365.9497041943","158.4134574598","255.0635843630","295.3752559614","-40.3116715984","-46.1592408386","5.8475692402","132.6358278240","172.7185235766","-9.9790954392","-143.9762282233","133.9971327840","5.0120669783","15.2102056081","112.4135552376","0.0000000000","0.0000000000"
"445","2079","-1148.0755563401","0.0005140459","0.8988630590","2.0852348582","524.3669966184","366.2841713116","158.0828253068","255.3980514804","296.4683772636","-41.0703257832","-46.9885145650","5.9181887818","133.5672528089","172.6729656212","-9.7718411666","-143.2735691392","133.5017279726","5.0206104949","15.0345578631","113.5120844509","0.0000000000","0.0000000000"
"446","6316","-1148.0816173784","0.0005109397","0.8993739987","2.0888482185","524.3706099788","365.7359330327","158.6346769461","254.8498132014","295.5562236470","-40.7064104455","-46.5625577212","5.8561472757","133.2214119273","172.1661458264","-9.8313341067","-144.2153033598","134.3839692531","5.0499071102","15.3587431464","112.8127616706","0.0000000000","0.0000000000"
"447","3713","-1148.0830639857","0.0005102011","0.8998841998","2.0897106308","524.3714723910","365.7631183027","158.6083540883","254.8769984714","298.3364173862","-43.4594819716","-49.3186532315","5.8591712599","131.9781889103","175.8579679698","-9.4997394939","-144.6067176153","135.1069781214","5.0913859712","15.2747355281","111.6120674110","0.0000000000","0.0000000000"
"448","8724","-1148.0875154038","0.0005079350","0.9003921348","2.0923643968","524.3741261570","365.9610693912","158.4130567658","255.0749495600","294.3303039794","-39.2553544195","-45.1029175764","5.8475631569","133.7639526149","170.9985190087","-10.4321676442","-144.4246746659","133.9925070217","4.9972034927","15.4155109546","113.3512381676","0.0000000000","0.0000000000"
"449","11695","-1148.0939279872","0.0005046883","0.9008968231","2.0961873349","524.3779490951","365.5772988050","158.8006502901","254.6911789738","295.9738484271","-41.2826694534","-47.1542209075","5.8715514542","132.8123537968","172.7540108588","-9.5925162285","-145.1066404282","135.5141241997","5.1171416185","15.2559095247","112.4393026536","0.0000000000","0.0000000000"
"450","7711","-1148.0946295057","0.0005043343","0.9014011575","2.0966055535","524.3783673138","365.8334972902","158.5448700235","254.9473774590","294.8397855562","-39.8924080972","-45.7325219658","5.8401138686","132.7593401075","172.0795940843","-9.9991486355","-143.6702845395","133.6711359040","4.9504261323","15.1479136080","112.6610003672","0.0000000000","0.0000000000"
"451","10069","-1148.0993957416","0.0005019363","0.9019030938","2.0994470019","524.3812087622","364.6245691770","159.7566395852","253.7384493457","294.2816114610","-40.5431621153","-46.3295169845","5.7863548692","135.4236228513","171.3108439241","-12.4528553143","-151.4900488917","139.0371935774","5.0368554598","20.0162408627","110.3705265288","0.0000000000","0.0000000000"
"452","10282","-1148.1069474820","0.0004981601","0.9024012538","2.1039490621","524.3857108223","366.0337067896","158.3520040327","255.1475869583","292.2772786360","-37.1296916777","-42.9206155833","5.7909239057","134.2044011682","168.7534024124","-10.6805249447","-144.6153095299","133.9347845852","4.8892229373","15.1518497557","114.1633284752","0.0000000000","0.0000000000"
"453","2069","-1148.1096205330","0.0004968302","0.9028980841","2.1055426333","524.3873043936","365.6428133117","158.7444910819","254.7566934804","295.1607283578","-40.4040348773","-46.2692987821","5.8652639047","133.7554231037","171.2530747094","-9.8477694553","-143.5534963900","133.7057269347","4.9780679075","14.7264600691","114.0508951271","0.0000000000","0.0000000000"
"454","10734","-1148.1128393872","0.0004952336","0.9033933177","2.1074615917","524.3892233520","366.0126078426","158.3766155094","255.1264880113","295.0120999082","-39.8856118968","-45.7487549215","5.8631430247","132.7361925982","172.5179209827","-10.2420136727","-144.1881187722","133.9461050995","5.0231544811","15.1516702197","112.5613678973","0.0000000000","0.0000000000"
"455","9758","-1148.1144658262","0.0004944288","0.9038877464","2.1084312127","524.3901929730","366.6814681449","157.7087248280","255.7953483137","297.1886836034","-41.3933352897","-47.1829333498","5.7895980601","133.8275286144","174.1304019154","-10.7692469264","-143.0478717309","132.2786248045","4.9163883590","15.3902262955","113.5209139599","0.0000000000","0.0000000000"
"456","2708","-1148.1171645392","0.0004930963","0.9043808427","2.1100400827","524.3918018430","365.8458458901","158.5459559528","254.9597260589","296.3578183482","-41.3981390190","-47.2769501187","5.8788110997","132.9091921703","173.2171802186","-9.7685540407","-144.5874479203","134.8188938795","5.1128131689","15.3614713306","112.4349076708","0.0000000000","0.0000000000"
"457","4664","-1148.1177507941","0.0004928073","0.9048736500","2.1103895855","524.3921513458","366.7998389392","157.5923124066","255.9137191080","290.5805055247","-34.6667864168","-40.7146446823","6.0478582655","139.4331196690","158.4371761644","-7.2897903087","-138.0122361593","130.7224458507","4.6599411922","12.2536640041","122.5195144727","0.0000000000","0.0000000000"
"458","9307","-1148.1202533992","0.0004915755","0.9053652255","2.1118815434","524.3936433037","365.4322170554","158.9614262483","254.5460972241","293.2554080799","-38.7093108558","-44.5659821636","5.8566713078","132.4921145404","170.3355618012","-9.5722682618","-144.2301168807","134.6578486189","4.9853192806","14.7156138268","112.7911814331","0.0000000000","0.0000000000"
"459","10137","-1148.1240904896","0.0004896929","0.9058549184","2.1141690707","524.3959308309","365.6100623801","158.7858684508","254.7239425489","296.2573424520","-41.5333447278","-47.4481697715","5.9148250436","132.5584983181","172.9037034091","-9.2048592752","-143.9575296055","134.7526703303","5.0968547442","15.0795401080","112.3821034659","0.0000000000","0.0000000000"
"460","12506","-1148.1252489657","0.0004891259","0.9063440443","2.1148597100","524.3966214703","365.7227562302","158.6738652401","254.8366363990","295.3645625937","-40.5279261947","-46.4267021112","5.8987759165","132.1542394147","172.6839653541","-9.4736421751","-143.9805434529","134.5069012777","5.0527774434","15.2309243909","111.8705375804","0.0000000000","0.0000000000"
"461","11460","-1148.1278122751","0.0004878738","0.9068319180","2.1163878575","524.3981496177","366.4332803400","157.9648692777","255.5471605088","297.0411223741","-41.4939618653","-47.4180532416","5.9240913762","132.9025405976","173.5350000627","-9.3964182862","-143.1115647352","133.7151464490","5.0226104490","14.9000366239","112.9798935246","0.0000000000","0.0000000000"
"462","1297","-1148.1386581784","0.0004826109","0.9073145290","2.1228537722","524.4046155324","366.3397684907","158.0648470417","255.4536486595","290.6401406705","-35.1864920110","-41.1632339232","5.9767419122","140.6045030645","159.5438702171","-9.5082326111","-142.2608931188","132.7526605077","4.7005593190","12.8008892949","123.1030544507","0.0000000000","0.0000000000"
"463","9082","-1148.1410630352","0.0004814517","0.9077959807","2.1242874563","524.4060492165","365.6127956716","158.7932535449","254.7266758403","295.8009768408","-41.0743010005","-46.9764490950","5.9021480945","132.8224174046","172.5650720581","-9.5865126218","-145.0975664383","135.5110538165","5.1174157091","15.2514701201","112.4535315753","0.0000000000","0.0000000000"
"464","1372","-1148.1424825095","0.0004807688","0.9082767494","2.1251336928","524.4068954531","364.5172997507","159.8895957024","253.6311799195","290.9741220248","-37.3429421053","-43.2144743332","5.8715322279","133.7239557748","166.4902057479","-9.2400394979","-144.8891618580","135.6491223601","5.0916229219","14.8082269467","113.8241059062","0.0000000000","0.0000000000"
"465","11375","-1148.1425606634","0.0004807312","0.9087574806","2.1251802852","524.4069420455","366.2227327086","158.1842093368","255.3366128774","298.0847394634","-42.7481265860","-48.6276578113","5.8795312253","132.2876964859","175.6635606492","-9.8665176717","-143.2664596521","133.3999419804","5.0163451747","15.1750891038","112.0962622075","0.0000000000","0.0000000000"
"466","672","-1148.1466521473","0.0004787683","0.9092362489","2.1276194721","524.4093812324","366.6328354746","157.7765457578","255.7467156434","290.4555203177","-34.7088046743","-40.7116763981","6.0028717238","141.0976254087","159.8895104894","-10.5316155804","-142.4382045205","131.9065889401","4.6256414810","12.4887817547","123.9832021730","0.0000000000","0.0000000000"
"467","548","-1148.1549786013","0.0004747984","0.9097110474","2.1325833871","524.4143451473","365.5028070092","158.9115381381","254.6166871779","286.3593300883","-31.7426429104","-38.0639147051","6.3212717947","142.3076395910","148.7191455799","-4.6674550825","-138.7945571131","134.1271020306","4.6591864581","10.6018839422","127.0465691906","0.0000000000","0.0000000000"
"468","9425","-1148.1576553297","0.0004735292","0.9101845766","2.1341791507","524.4159409109","366.2739939438","158.1419469671","255.3878741125","297.1797332951","-41.7918591826","-47.6840049829","5.8921458003","132.9768244942","173.9872251396","-9.7843163387","-143.6729876765","133.8886713378","5.0197741977","14.7538688509","113.2031814456","0.0000000000","0.0000000000"
"469","4580","-1148.1693884192","0.0004680057","0.9106525823","2.1411739720","524.4229357323","366.1653420380","158.2575936943","255.2792222068","297.7110651154","-42.4318429086","-48.2966104134","5.8647675047","132.5716785528","175.1039471128","-9.9645605502","-143.6509190727","133.6863585225","5.0289866132","15.0441113695","112.4985805701","0.0000000000","0.0000000000"
"470","12892","-1148.1765952731","0.0004646450","0.9111172273","2.1454704239","524.4272321842","365.2455824448","159.1816497394","254.3594626136","294.1179184297","-39.7586165796","-45.4780716407","5.7194550611","135.6856609458","170.7535184564","-12.3212609725","-149.6966254715","137.3753644990","4.9942257704","17.9060364378","112.7853987376","0.0000000000","0.0000000000"
"471","9379","-1148.1810283770","0.0004625897","0.9115798170","2.1481132718","524.4298750320","365.7723701494","158.6575048826","254.8862503182","294.8246070957","-39.9383567775","-45.8179591252","5.8796023477","132.2028477497","172.2140588635","-9.5922995175","-143.7977424876","134.2054429701","4.9819366709","15.0265185047","112.1943925742","0.0000000000","0.0000000000"
"472","3375","-1148.1939970436","0.0004566293","0.9120364463","2.1558446972","524.4376064574","365.7042124684","158.7333939890","254.8180926372","296.6047222373","-41.7866296001","-47.6802345858","5.8936049857","132.3521020560","173.8887532990","-9.6361331177","-144.3987439079","134.7626107902","5.0163672700","15.3249660613","112.0107687247","0.0000000000","0.0000000000"
"473","11500","-1148.1956208644","0.0004558884","0.9124923348","2.1568127573","524.4385745176","365.6435762755","158.7949982421","254.7574564442","292.1405709347","-37.3831144905","-43.1105705626","5.7274560721","135.9732838611","168.6789515240","-12.5116644504","-150.7046938677","138.1930294174","5.0287573559","18.3478125562","112.5967139490","0.0000000000","0.0000000000"
"474","3775","-1148.1956227845","0.0004558875","0.9129482223","2.1568139020","524.4385756622","365.5626998985","158.8758757637","254.6765800673","294.6793362567","-40.0027561894","-45.8015025083","5.7987463188","133.5875105246","171.4639523783","-10.3721266462","-144.8610984550","134.4889718088","4.9358037712","15.2727448246","113.3789619288","0.0000000000","0.0000000000"
"475","9870","-1148.2022329939","0.0004528840","0.9134011063","2.1607546572","524.4425164175","365.9110776626","158.5314387549","255.0249578314","292.5520825742","-37.5271247428","-43.2188658774","5.6917411346","137.1503333782","169.0198695421","-13.6181203462","-150.5637639789","136.9456436327","4.8606127572","19.0082133776","113.2815072435","0.0000000000","0.0000000000"
"476","3751","-1148.2050819190","0.0004515956","0.9138527018","2.1624530779","524.4442148382","365.1127751949","159.3314396433","254.2266553636","291.5670473902","-37.3403920265","-43.1849853895","5.8445933630","134.6165337158","167.1438093922","-10.1932957178","-143.6515462068","133.4582504890","4.9747890495","14.6362913963","115.0054532699","0.0000000000","0.0000000000"
"477","4899","-1148.2078379947","0.0004503527","0.9143030545","2.1640961453","524.4458579056","365.8929169201","158.5529409854","255.0067970889","298.0362795112","-43.0294824223","-48.9175086792","5.8880262569","132.0014392527","175.2998306670","-9.2649904085","-143.6243422833","134.3593518748","5.0576363201","15.2445560722","111.6992468604","0.0000000000","0.0000000000"
"478","5395","-1148.2153346184","0.0004469892","0.9147500436","2.1685653470","524.4503271073","365.4212555964","159.0290715108","254.5351357652","292.1773497463","-37.6422139811","-43.5181421444","5.8759281633","132.9138472084","169.0945698346","-9.8310672967","-144.3131681802","134.4821008835","4.9391186672","14.9932076953","112.9815208459","0.0000000000","0.0000000000"
"479","11133","-1148.2215629523","0.0004442138","0.9151942574","2.1722784426","524.4540402029","365.8996797155","158.5543604873","255.0135598843","294.2191221291","-39.2059085522","-45.0685093039","5.8626007517","133.4275713134","170.8884897437","-10.0969389279","-144.4964933851","134.3995544572","4.9347227789","15.0863195468","113.4065289877","0.0000000000","0.0000000000"
"480","9984","-1148.2224549305","0.0004438178","0.9156380752","2.1728102060","524.4545719663","366.4424675656","158.0121044007","255.5563477343","296.7544343186","-41.1980865843","-47.0638244663","5.8657378819","133.0303335769","173.2742396529","-9.5501389111","-143.5482088180","133.9980699069","5.0151293543","15.0698951415","112.9453090811","0.0000000000","0.0000000000"
"481","9304","-1148.2297009141","0.0004406135","0.9160786887","2.1771299857","524.4588917459","366.3178062761","158.1410854699","255.4316864448","292.9378540675","-37.5061676227","-43.4317000950","5.9255324723","133.2029384199","169.2483925012","-9.5134768536","-142.7086159384","133.1951390848","4.9469648471","14.6946627942","113.5613107786","0.0000000000","0.0000000000"
"482","12773","-1148.2364098504","0.0004376673","0.9165163560","2.1811295981","524.4628913583","367.2371416051","157.2257497533","256.3510217738","296.7690195141","-40.4182788195","-46.4797231082","6.0614442887","138.5530244329","165.7172179565","-7.5012228753","-137.9066870536","130.4054641784","4.6495226191","12.5562433083","121.3472585054","0.0000000000","0.0000000000"
"483","2061","-1148.2504239317","0.0004315766","0.9169479326","2.1894842599","524.4712460202","365.8455764833","158.6256695369","254.9594566520","295.7508420106","-40.7913853585","-46.6911601636","5.8997748051","132.1272522863","172.9781875364","-9.3545978121","-144.0796886274","134.7250908153","5.0764442412","15.1593336964","111.8914743487","0.0000000000","0.0000000000"
"484","2916","-1148.2530477912","0.0004304457","0.9173783783","2.1910485051","524.4728102653","365.8541298847","158.6186803806","254.9680100535","296.7502372336","-41.7822271801","-47.6351184325","5.8528912524","133.0089020453","173.6405252444","-9.8991900561","-144.4773241508","134.5781340947","5.0539447698","15.4301768643","112.5247804111","0.0000000000","0.0000000000"
"485","12748","-1148.2539016588","0.0004300783","0.9178084566","2.1915575485","524.4733193087","366.3189563802","158.1543629285","255.4328365490","299.1517244153","-43.7188878664","-49.6288182005","5.9099303342","132.5961099153","175.8923935621","-9.3367790620","-143.1299141729","133.7931351109","5.0154366808","15.3922895937","112.1883836408","0.0000000000","0.0000000000"
"486","6359","-1148.2594805784","0.0004276856","0.9182361422","2.1948834879","524.4766452482","366.3992405134","158.0774047348","255.5131206822","293.5809399462","-38.0678192640","-43.8718685917","5.8040493278","133.7958095263","170.4342456290","-10.6491152091","-144.4506719136","133.8015567045","4.9207749491","15.2684348890","113.6065996881","0.0000000000","0.0000000000"
"487","8874","-1148.2602920939","0.0004273387","0.9186634809","2.1953672826","524.4771290428","365.6322014450","158.8449275978","254.7460816137","290.2396661798","-35.4935845661","-41.3027626398","5.8091780737","133.6283708780","167.0180909572","-10.4067956554","-144.2879318275","133.8811361721","4.8821377244","15.0596896844","113.6865434692","0.0000000000","0.0000000000"
"488","7301","-1148.2622088339","0.0004265204","0.9190900012","2.1965099700","524.4782717302","366.8006360370","157.6776356932","255.9145162057","292.4113871645","-36.4968709588","-42.6005935901","6.1037226313","138.8288367804","160.5968091188","-7.0142587346","-138.2382922235","131.2240334888","4.6847399513","12.1696216976","121.9744751315","0.0000000000","0.0000000000"
"489","4219","-1148.2876059032","0.0004158244","0.9195058256","2.2116507360","524.4934124962","365.7948677035","158.6985447927","254.9087478723","291.5583392924","-36.6495914201","-42.5351107685","5.8855193484","133.9361661508","167.4723812237","-9.8502080821","-142.6348857462","132.7846776641","4.9146914703","14.4809328423","114.5405418382","0.0000000000","0.0000000000"
"490","1381","-1148.2887078870","0.0004153664","0.9199211920","2.2123076968","524.4940694570","365.5763388999","158.9177305571","254.6902190687","294.0352091566","-39.3449900879","-45.2305401473","5.8855500594","132.8980071269","170.7971159535","-9.6599139238","-144.9522251566","135.2923112328","5.0544688457","15.2551507356","112.5883875456","0.0000000000","0.0000000000"
"491","3374","-1148.2903061291","0.0004147031","0.9203358951","2.2132605079","524.4950222681","365.8390336437","158.6559886244","254.9529138125","298.2460414996","-43.2931276871","-49.1708755805","5.8777478934","132.0348346747","175.6203351586","-9.4091283337","-144.4018218117","134.9926934780","5.0527480872","15.1017045395","111.8803820480","0.0000000000","0.0000000000"
"492","1576","-1148.2919192938","0.0004140346","0.9207499298","2.2142222153","524.4959839755","366.3895490954","158.1064348801","255.5034292641","296.4205849190","-40.9171556549","-46.8540986473","5.9369429924","133.0193100741","173.0739805074","-9.6727056625","-142.7656554527","133.0929497902","4.9664463196","14.4531334476","113.5997303070","0.0000000000","0.0000000000"
"493","3064","-1148.2971196104","0.0004118871","0.9211618169","2.2173224461","524.4990842063","366.7815334334","157.7175507729","255.8954136021","289.2503069972","-33.3548933951","-39.2568765745","5.9019831794","139.4417516172","159.2461690745","-9.4376136945","-141.8476717046","132.4100580101","4.8047456163","13.1306550479","121.5063509530","0.0000000000","0.0000000000"
"494","11493","-1148.3033047473","0.0004093474","0.9215711643","2.2210097892","524.5027715495","364.0138771569","160.4888943926","253.1277573257","286.8159241804","-33.6881668547","-39.4515867351","5.7634198804","137.4197128320","162.5387850291","-13.1425736808","-154.3112527623","141.1686790815","5.0280329699","20.0661439052","112.3255359569","0.0000000000","0.0000000000"
"495","13177","-1148.3181064224","0.0004033330","0.9219744973","2.2298339845","524.5115957447","366.8683407899","157.6432549548","255.9822209587","289.8819766690","-33.8997557103","-39.8229618155","5.9232061052","138.0732761302","164.3756076396","-12.5669071008","-142.4389773330","129.8720702323","4.6248384742","14.4670301332","118.9814075228","0.0000000000","0.0000000000"
"496","11910","-1148.3189135336","0.0004030076","0.9223775049","2.2303151535","524.5120769137","365.9568745887","158.5552023250","255.0707547575","297.1624308920","-42.0916761345","-47.9670067879","5.8753306534","132.9385167470","173.9906821276","-9.7667679825","-144.4699213748","134.7031533923","5.0780193904","15.3007626302","112.5597347264","0.0000000000","0.0000000000"
"497","4663","-1148.3201682362","0.0004025023","0.9227800071","2.2310631594","524.5128249197","365.0774971863","159.4353277334","254.1913773550","290.6130157081","-36.4219669311","-42.2341159418","5.8121490107","133.8515826421","167.0216212777","-10.2601882118","-143.7711395749","133.5109513631","4.9086517166","14.5558582256","114.3870726999","0.0000000000","0.0000000000"
"498","8913","-1148.3250285364","0.0004005507","0.9231805579","2.2339606854","524.5157224456","367.7446251251","156.7710973205","256.8585052938","298.6309169899","-41.7724116960","-47.8071466972","6.0347350012","136.1676476149","171.2576534392","-8.7943840643","-139.2669978207","130.4726137564","4.7473799693","13.2806643935","118.1396032521","0.0000000000","0.0000000000"
